都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
愛知県,"阿久比町,",ほ場整備,"撮影,写測図化","8000,,1000","2.7KM2,2.7KM2",愛知県阿久比町助言610611E3039,国際航業(株),"61.05.20,61.07.22",
愛知県,"足助町,",道路計画,"撮影,写測図化","8000,,1000","6.1KM2,0.3KM2",名四国道工事事務所助言610930E3095,中日本航空測量(株),"61.09.26,61.11.25",611214
愛知県,"大府市,",都市計画,"撮影,写測修正","8000,,2500","33.6KM2,33.6KM2",愛知県大府市助言610524E3022,(株)パスコ,"61.05.12,62.01.12",610252
愛知県,"刈谷市,",都市計画,"撮影,写測修正","12500,,2500","50.7KM2,50.7KM2",愛知県刈谷市助言610604E3036,(株)パスコ,"61.04.30,61.11.15",610320
愛知県,"田原町,",道路台帳,"撮影,写測図化","8000,,1000","82.4KM2,24.6KM2",愛知県田原町助言611006E3102,(株)パスコ,"61.09.04,63.06.30",611248
愛知県,"豊川市,",都市計画,"撮影,写測修正,写測修正","12500,,10000,,2500","65.3KM2,52.8KM2,52.8KM2",愛知県豊川市助言610604E3033,アジア航測(株),"61.05.08,62.01.31",610317
愛知県,"安城市,",都市計画,"撮影,写測修正,編集","11000,,2500,,10000","85.7KM2,85.7KM2,85.7KM2",愛知県安城市助言610718E3062,アジア航測(株),"61.06.25,62.01.19",610725
愛知県,"岩倉市,",都市計画,"撮影,写測図化,編集","8000,,2500,,10000","10.5KM2,10.5KM2,10.5KM2",愛知県岩倉市助言610930E3092,アジア航測(株),"61.09.06,62.03.04",611211
愛知県,"春日村,",都市計画・道路台帳,"撮影,撮影,写測修正,写測図化","12500,,4000,,2500,,500","4.0KM2,4.0KM2,4.0KM2,0.9KM2",愛知県春日村助言610627E3049,中央コンサルタント(株),"61.06.16,62.03.10",610557
愛知県,"扶桑町,",都市計画,"撮影,写測図化","10000,,2500","10.9KM2,10.9KM2",愛知県扶桑町助言610711E3053,中央コンサルタント(株),"61.06.13,61.12.15",610672
愛知県,"岩倉市,",都市計画,"撮影,写測修正","8000,,1000","0.2KM2,0.2KM2",愛知県岩倉市助言610815E3071,中央コンサルタント(株),"61.07.17,61.09.10",
愛知県,"名古屋市,春日井市,",河川管理,撮影,4000,49.6KM2,庄内川工事事務所助言611110E3117,中央コンサルタント(株),"61.10.29,62.01.31",
愛知県,"豊根村,津具村,東栄町,富山村,鳳来町,稲武町,",森林計画,撮影,16000,1016.0KM2,愛知県助言610417E3003,玉野総合コンサルタント(株),"61.05.01,61.07.31",610013*
愛知県,"春日井市,",都市計画,"撮影,写測修正","10000,,2500","93.0KM2,93.0KM2",愛知県春日井市助言610623E3042,玉野総合コンサルタント(株),"61.05.26,62.03.21",610493
愛知県,"佐屋町,",都市計画,"撮影,写測修正","10000,,2500","18.7KM2,18.7KM2",愛知県佐屋町助言610623E3044,玉野総合コンサルタント(株),"61.05.23,61.11.17",610495
愛知県,"岡崎市,",都市計画,"撮影,写測修正,写測修正,写測修正,写測修正","10000,,2500,,10000,,25000,,50000","227.1KM2,227.1KM2,227.1KM2,227.1KM2,227.1KM2",愛知県岡崎市助言610627E3046,玉野総合コンサルタント(株),"61.06.04,62.03.20",610554
愛知県,"音羽町,",都市計画,"撮影,写測図化","10000,,2500","29.2KM2,29.2KM2",愛知県音羽町助言610910E3089,玉野総合コンサルタント(株),"61.08.23,62.10.31",611100
愛知県,"一宮市,西尾市,東栄町,豊根村,津具村,",道路台帳,"撮影,写測図化","8000,,1000","4.7KM2,4.7KM2",愛知県助言610930E3094,玉野総合コンサルタント(株),"61.09.10,62.02.16",
愛知県,"東海市,知多市,名古屋市,阿久比町,弥富町,飛島村,",港湾計画,"撮影,カラー撮影,写測図化","10000,,20000,,1000","100.0KM2,280.0KM2,2.1KM2",名古屋港管理組合助言611110E3123,玉野総合コンサルタント(株),"61.10.29,62.02.28",611545
