都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
愛知県,"名古屋市,",道路計画,基準点,1級,9point,日本道路公団名古屋工事局名古屋工事事務所,(株)帝国コンサルタント590613E0225,"59.06.14,59.12.31",
愛知県,"名古屋市,",土地区画整理,基準点,3級,17.1km,名古屋市特定土地区画整理組合,玉野総合コンサルタント(株)591203E0372,"59.09.20,60.02.20",
愛知県,"足助町,",道路計画,基準点,3級,3point,名四国道工事事務所,中京測量設計(株)591120E0368,"59.11.20,60.03.10",
愛知県,"名古屋市,豊橋市,岡崎市,一宮市,半田市,春日井市,豊川市,津島市,碧南市,刈谷市,安城市,西尾市,蒲郡市,犬山市,常滑市,江南市,尾西市,小牧市,稲沢市,東海市,",地盤変動調査,水準,1級,884.0km,愛知県,"中部復建(株),三協調査設計(株),(株)朝日設計事務所,玉野総合コンサルタント(株),(株)飯沼コンサルタント590717E0273","59.08.01,60.02.28",590285
愛知県,"名古屋市,春日井市,西枇杷島町,甚目寺町,大治町,",地盤変動調査,水準,1級,119.0km,庄内川工事事務所,中建測量工務(株)591023E0340,"59.10.20,60.03.11",591031
愛知県,"名古屋市,",地盤変動調査,水準,1級,400.0km,愛知県名古屋市,玉野総合コンサルタント(株)591023E0341,"59.11.01,60.03.23",591032
愛知県,"弥富町,立田村,八開村,",地盤変動調査,水準,1級,185.2km,木曽川下流工事事務所,中部測量設計(株)591002E0330,"59.09.18,60.02.28",590884*
愛知県,"名古屋市,東海市,知多市,飛島村,",地盤変動調査,水準,1級,99.0km,名古屋港管理組合,(株)新日調査設計590828E0302,"59.09.15,59.12.31",590624
愛知県,"名古屋市,犬山市,春日井市,大口町,",河川管理,水準,2級,35.0km,庄内川工事事務所,石田測量設計(株)591225E0387,"60.01.04,60.03.25",
愛知県,"名古屋市,",道路台帳,平板,500,14.7KM2,愛知県名古屋市,"(株)オオバ,中央コンサルタント(株),(株)飯沼コンサルタント,(株)司設計事務所,中部測量設計(株),中部復建(株)590717E0274","59.07.16,60.02.15",
愛知県,"知立市,",土地区画整理,平板,500,0.4KM2,愛知県知立市,中央コンサルタント(株)591218E0385,"59.12.10,60.03.13",
愛知県,"安城市,",土地区画整理,平板,500,1.7KM2,愛知県安城市,中央コンサルタント(株)600301E2013,"60.03.01,60.07.15",
愛知県,"名古屋市,",道路台帳,平板,500,8.6KM2,愛知県名古屋市,"玉野総合コンサルタント(株),東栄測量設計(株),(株)朝日設計事務所,太平測量設計(株),大増測量設計(株),(株)柴山事務所590828E0304","59.09.01,60.03.16",
愛知県,"安城市,",土地区画整理,平板,500,0.2KM2,愛知県安城市,玉野総合コンサルタント(株)591120E0364,"59.10.09,60.03.31",
愛知県,"安城市,",土地区画整理,平板,500,0.1KM2,愛知県安城市,玉野総合コンサルタント(株)591120E0365,"59.10.04,60.03.15",
愛知県,"瀬戸市,",土地区画整理,平板,500,0.4KM2,愛知県瀬戸市,玉野総合コンサルタント(株)600128E2005,"59.12.20,60.03.20",
愛知県,"豊明市,",道路台帳,平板,500,0.2KM2,名古屋国道工事事務所,中部測量設計(株)591023E0345,"59.08.29,60.01.25",
愛知県,"名古屋市,",道路台帳,平板,500,11.9KM2,愛知県名古屋市,"(株)朝日設計事務所,玉野総合コンサルタント(株),(株)旭調査設計事務所,(株)柴山事務所,新晃測量設計(株),(株)日進サーベー590511E0178","59.05.10,59.11.30",
愛知県,"名古屋市,",道路計画,平板,250,0.1KM2,日本道路公団名古屋建設局名古屋工事事務所,中部土地調査(株)590921E0318,"59.09.12,60.03.31",
愛知県,"名古屋市,",道路台帳,平板,500,3.1KM2,愛知県名古屋市,"(株)新日調査設計,太平測量設計(株),(株)日進サーベー,三協調査設計(株),中部復建(株),(株)大日調査設計591029E0353","59.11.01,60.03.31",
愛知県,"名古屋市,",土地区画整理,"撮影,写測図化","8000,,1000","13.3KM2,4.5KM2",愛知県名古屋市,東日本航空(株)590521E0192,"59.06.11,59.09.10",590047
愛知県,"尾西市,",道路台帳,"撮影,写測図化","8000,,1000","36.0KM2,22.6KM2",愛知県尾西市,国際航業(株)590816E0296,"59.07.06,61.03.20",590587
愛知県,"名古屋市,岡崎市,豊田市,尾張旭市,瀬戸市,春日井市,小牧市,",鉄道計画,"撮影,写測図化","12500,,2500","172.5KM2,66.0KM2",日本鉄道建設公団名古屋支社,国際航業(株)590928E0323,"59.09.10,60.03.31",
