都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
岩手県,和賀町,道路台帳,"撮影,図化","8000,,1000","206.1KM2,2.7KM2",和賀町,アジア航測,"59.3.10,59.12.20",1305
岩手県,宮守村,道路台帳,"撮影,図化","8000,,1000","234.0KM2,174.0KM2",宮守村,朝日航洋,"59.3.23,60.2.20",1365
岩手県,室根村,道路台帳,"撮影,図化","8000,,1000","97.0KM2,15.0KM2",室根村,写測,"58.8.5,59.11.30",365
岩手県,花巻市,土地改良,"撮影,図化","8000,,2000","11.4KM2,3.4KM2",岩手県花巻土地改良事業所,第一航業,"58.8.25,58.10.10",472
岩手県,胆沢町,ダム計画,撮影(対標有),8000,77.4KM2,東北地建新石渕ダム調査事務所,国際航業,"58.11.1,58.12.15",828
岩手県,"花巻市,北上市,石鳥谷町",土地改良,"撮影,図化","10000,,2000","28.1KM2,24.7KM2",岩手県花巻土地改良事業所,第一航業,"58.4.22,58.7.30",53
岩手県,"釜石市,遠野市,陸前高田市,大船渡市",森林計画,撮影,16000,1200.0KM2,岩手県,朝日航洋,"58.5.8,58.8.10",117
秋田県県境岩手県,"由利町,県境雫石町",電源開発,"撮影,図化","20000,,5000","143.5KM2,20.1KM2",新エネルギー財団水力本部,アジア航測,"58.10.6,59.3.10",733
岩手県,久慈市,道路台帳,"撮影,図化修正","30000,,10000","532.6KM2,56.4KM2",久慈市,パスコ,"59.2.5,59.3.26",1199
岩手県,久慈市,港湾計画,図化,2000,2.0KM2,久慈市,アジア航測,"58.10.27,58.12.12",824
岩手県,花巻市,都市計画,図化,2500,158.5KM2,花巻市,朝日航洋,"58.9.24,59.2.29",645
岩手県,盛岡市,観光,図化,2500,2.2KM2,盛岡市,アジア航測,"59.1.10,59.3.12",
岩手県,盛岡市,区画整理,平板,500,1.5KM2,盛岡市,"中庭測量,佐藤測量技術設計","58.6.1,58.10.31",
岩手県,釜石市,区画整理,平板,500,0.6KM2,釜石市,八洲,"58.8.17,59.2.22",
岩手県,滝沢村,区画整理,平板,500,0.1KM2,滝沢村,パスコ,"58.8.10,59.3.15",
岩手県,一関市,河川管理,平板,500,0.5KM2,東北地建岩手工事事務所,東日本測量設計,"58.9.20,58.11.30",
宮城県,"仙台市,七ケ浜町",港湾整備,"基準点,水準","1級,,1級","6point,18.0km","第二港湾建設局,塩釜港工事事務所",三洋水路測量,"58.11.4,58.11.20",
宮城県,若柳町,区画整理,"基準点,平板","3級,,500","10point,0.5KM2",若柳町,パスコ,"58.6.21,59.2.28",
宮城県,"仙台市,塩竈市,多賀城市",地盤沈下,水準,1級,240.0km,宮城県,"関東測量設計,東日本航空,協同測量社,国際航業","58.8.10,59.3.31",372
宮城県,角田市,土地改良,水準,2級,15.0km,東北農政局,中庭測量,"58.6.7,58.7.21",
宮城県,"古川市,小牛田町,田尻町",河川計画,水準,3級,35.0km,東北地建北上川下流工事事務所,東邦技術,"58.8.31,58.11.10",
宮城県,,道路台帳,"撮影,図化","4000,,500","504.0KM2,30.5KM2",宮城県,社団法人宮城県建設センター,"58.8.20,59.3.31",
宮城県,秋保町,道路台帳,"撮影,図化","4000,,500","26.3KM2,1.3KM2",秋保町,アジア航測,"58.10.25,60.12.20",727
宮城県,登米町,道路台帳,"撮影(対標有),撮影(対標有)","4000,,8000","3.8KM2,45.0KM2",登米町,パスコ,"59.2.6,59.3.26",1201
宮城県,宮城町,道路台帳,"撮影,図化","4000,,500","100.0KM2,9.5KM2",宮城町,パスコ,"58.12.5,60.2.10",977
宮城県,矢本町,道路台帳,"撮影,図化","4000,,500","51.6KM2,11.4KM2",矢本町,セントラル航業,"58.4.21,59.3.10",51
宮城県,大和町,道路台帳,"撮影,図化","4000,,500","121.7KM2,8.3KM2",大和町,アジア航測,"58.11.10,60.3.31",831
宮城県,米山町,道路台帳,"撮影,図化","4000,,500","3.7KM2,0.1KM2",米山町,パシフイック航業,"58.10.24,59.1.25",
宮城県,仙台市,道路計画,"撮影,図化","4000,,500","14.8KM2,1.7KM2",仙台市,アジア航測,"58.7.21,58.12.15",
宮城県,小野田町,道路台帳,"撮影,図化","8000,,1000","85.3KM2,4.3KM2",小野田町,パスコ,"58.11.20,60.1.20",947
宮城県,中田町,道路台帳,"撮影,図化","8000,,1000","12.0KM2,5.0KM2",中田町,セントラル航業,"58.8.25,59.1.30",470
宮城県,桃生町,農地開発,"撮影,図化","8000,,1000","21.7KM2,5.1KM2",桃生町,国際航業,"58.7.16,58.12.23",334
宮城県,若柳町,土地改良,"撮影,図化","8000,,1000","4.1KM2,0.6KM2",若柳町,パスコ,"58.4.28,58.6.30",
宮城県,登米町,ほ場整備,"撮影,図化","8000,,1000","20.0KM2,9.0KM2",登米町,パスコ,"58.12.23,59.3.24",
宮城県,"秋保町,仙台市,宮城町",河川計画,"撮影,図化","12500,,2500","48.3KM2,23.6KM2",東北地建仙台工事事務所,国際航業,"58.12.2,59.3.29",978
宮城県,石巻市,道路台帳,"図化,図化","500,,1000","4.1KM2,10.0KM2",石巻市,国際航業,"58.9.20,59.3.25",
宮城県,川崎町,道路台帳,図化,500,4.2KM2,川崎町,アジア航測,"58.8.9,59.8.31",
宮城県,北上町,港湾整備,図化,500,0.1KM2,北上町,アジア航測,"58.10.1,58.11.20",
宮城県,北上町,道路改良,図化,1000,0.2KM2,北上町,アジア航測,"58.10.1,58.12.25",
宮城県,角田市,農地開発,図化,1000,1.3KM2,宮城県大河原土地改良事業所,パスコ,"59.1.28,59.3.20",
宮城県,亘理町,農地開発,図化,1000,1.7KM2,宮城県仙台土地改良事務所,パスコ,"58.6.18,58.8.25",
宮城県,蔵王町,ほ場整備,図化,1000,5.4KM2,蔵王町,国際航業,"58.9.10,59.3.20",
宮城県,川崎町,公園計画,図化,1000,2.2KM2,東北地建国営釜房湖畔公園工事事務所,アジア航測,"58.4.30,58.6.20",
宮城県,宮城町,都市計画,図化,2500,14.3KM2,宮城町,パスコ,"59.3.1,59.3.26",1303
宮城県,気仙沼市,道路台帳,平板,500,0.1KM2,気仙沼市,富士測量,"59.3.16,59.3.30",
宮城県,気仙沼市,道路台帳,平板,500,0.1KM2,気仙沼市,羽葉コンサルタント,"58.5.2,59.3.31",
宮城県,大郷町,道路台帳,平板,500,0.3KM2,大郷町,東北パシフイック測量調査,"58.7.30,58.10.31",
宮城県,河南町,道路台帳,平板,500,0.9KM2,河南町,加美測量設計,"58.7.30,59.3.15",
宮城県,塩竈市,道路台帳,平板,500,0.2KM2,塩釜市,富士測量,"58.6.30,58.9.30",
宮城県,大衡村,道路台帳,平板,500,0.1KM2,大衡村,パスコ,"58.6.1,58.7.31",
宮城県,富谷町,道路台帳,平板,500,0.2KM2,富谷町,富士測量,"58.11.11,59.3.10",
宮城県,桃生町,道路台帳,平板,500,3.3KM2,桃生町,西条測量設計コンサルタント,"59.3.26,60.3.30",
宮城県,岩沼市,厚生施設計画,平板,500,4.1KM2,宮城県,共栄コンサルタント,"58.11.8,59.1.31",
宮城県,仙台市,区画整理,平板,1000,1.5KM2,仙台市,パスコ,"59.2.10,59.3.20",
宮城県,牡鹿町,港湾計画,"平板,深浅","1000,,1000","0.2KM2,0.1KM2",宮城県石巻港湾事務所,アジア航測,"58.10.11,58.11.30",
秋田県,秋田市,道路計画,"基準点,水準","3級,,3級","4point,6.3km",東北地建秋田工事事務所,国際航業,"58.8.20,58.11.30",
秋田県,秋田市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","80.0KM2,486.0KM2,34.3KM2,23.7KM2",秋田市,アジア航測,"58.6.24,60.12.25",244
秋田県,角館町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","7.6KM2,174.0KM2,7.5KM2,10.0KM2",角館町,パスコ,"58.11.13,60.2.20",834
秋田県,仁賀保町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","12.0KM2,99.3KM2,2.6KM2,16.6KM2",仁賀保町,写測,"58.11.20,60.3.31",912
秋田県,皆瀬村,道路台帳,"撮影,図化","4000,,500","60.0KM2,3.5KM2",皆瀬村,国際航業,"58.8.29,59.2.28",431
秋田県,雄物川町,道路台帳,"撮影,図化","8000,,1000","128.0KM2,15.6KM2",雄物川町,アジア航測,"58.9.26,59.12.25",650
秋田県,羽後町,道路台帳,"撮影,図化","8000,,1000","288.0KM2,17.5KM2",羽後町,パスコ,"58.5.10,59.2.10",108
秋田県,河辺町,道路台帳,"撮影,図化","8000,,1000","210.0KM2,6.6KM2",河辺町,アジア航測,"58.7.27,59.2.22",341
秋田県,琴丘町,道路台帳,"撮影,図化","8000,,1000","115.0KM2,109.0KM2",琴丘町,東北測量,"59.4.15,60.2.15",1346
秋田県,中仙町,道路台帳,"撮影,図化","8000,,1000","80.0KM2,21.5KM2",中仙町,パスコ,"58.10.14,60.1.30",726
秋田県,八郎潟町,道路台帳,"撮影,撮影,図化,図化","8000,,4000,,500,,1000","34.1KM2,3.8KM2,0.4KM2,1.1KM2",八郎潟町,第一航業,"59.1.27,59.10.31",
秋田県,東成瀬村,道路台帳,"撮影,図化","8000,,1000","130.0KM2,12.0KM2",東成瀬村,パスコ,"58.8.23,58.11.30",434
秋田県,山内村,道路台帳,"撮影,図化","8000,,1000","63.0KM2,1.6KM2",山内村,パスコ,"58.8.23,58.11.30",430
秋田県,大雄村,道路台帳,"撮影,撮影,図化","8000,,20000,,1000","26.5KM2,26.5KM2,6.3KM2",大雄村,写測,"59.3.20,60.2.20",1304
秋田県,本荘市,都市計画,"撮影,図化","12500,,2500","122.0KM2,45.2KM2",本荘市,写測,"58.6.10,58.10.31",137
秋田県,岩城町,農地開発,"撮影,撮影,図化,図化","12500,,25000,,2500,,5000","30.1KM2,179.1KM2,6.0KM2,32.0KM2",岩城町,朝日航洋,"59.2.14,59.3.31",1264
秋田県,横手市,公園計画,"撮影,図化","12500,,2500","15.8KM2,6.0KM2",横手市,八洲,"58.7.15,58.8.15",
秋田県,,森林計画,撮影,16000,789.0KM2,秋田県,東北測量,"58.7.1,58.10.20",344
秋田県県境岩手県,"由利町,県境雫石町",電源開発,"撮影,図化","20000,,5000","143.5KM2,20.1KM2",新エネルギー財団水力本部,アジア航測,"58.10.6,59.3.10",733
秋田県,"大曲市,大森町,大雄村",河川改修,図化,2500,11.3KM2,東北地建湯沢工事事務所,パスコ,"58.6.20,58.11.30",200
秋田県,大館市,区画整理,平板,500,0.2KM2,大館市,八洲,"58.9.15,58.12.20",
山形県,東根市,地盤沈下,水準,2級,25.0km,東根市,三和技術コンサルタント,"58.10.30,58.11.30",823
山形県,山形市,地盤沈下,水準,2級,60.4km,山形市,田村測量設計事務所,"58.10.24,59.2.29",825
山形県,米沢市,地盤沈下,水準,2級,32.1km,米沢市,東邦技術,"58.9.28,58.12.26",663
山形県,天童市,地盤変動,水準,2級,18.0km,天童市,三和技術コンサルタント,"58.11.15,58.12.15",908
山形県,,道路台帳,"撮影,図化","4000,,500","1122.0KM2,67.2KM2",山形県,"アジア航測,国際航業","58.8.25,60.5.31",
山形県,南陽市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","15.0KM2,50.0KM2,6.0KM2,11.0KM2",南陽市,アジア航測,"58.8.4,59.3.26",369
山形県,大江町,道路台帳,"撮影,図化","8000,,1000","234.0KM2,6.5KM2",大江町,アジア航測,"58.5.15,59.2.20",123
山形県,高畠町,道路台帳,"撮影,図化","8000,,1000","160.0KM2,28.2KM2",高畠町,パスコ,"58.5.18,59.3.29",120
山形県,酒田市,河川改修,撮影(対標有),8000,6.8KM2,東北地建酒田工事事務所,アジア航測,"58.7.25,58.9.30",338
山形県,,森林計画,"撮影,撮影","16000,,20000","804.0KM2,804.0KM2",山形県,写測,"58.5.10,58.10.29",32
山形県,"酒田市,鶴岡市",庄内空港計画,"図化新規,図化修正","2500,,5000","10.8KM2,38.0KM2",山形県,パスコ,"58.5.31,58.6.25",136
山形県,"小国町,飯豊町",砂防計画,空三,12500,200モデル,北陸地建飯豊山系砂防工事事務所,アジア航測,"59.1.14,59.3.3",1196
山形県,米沢市,区画整理,平板,500,0.6KM2,米沢市,(財)山形県土地区画整理協会,"58.9.1,58.12.28",
山形県,米沢市,区画整理,平板,500,0.4KM2,財団法人米沢市開発公社,(財)山形県土地区画整理協会,"58.11.1,58.12.20",
福島県,"鹿島町,飯舘村",水路計画,基準点,1級,6point,福島県原町工業用水道事務所,福建コンサルタント,"58.12.27,59.3.23",
福島県,郡山市,区画整理,"基準点,平板","2級,,500","15point,1.3KM2",郡山市,(財)福島県区画整理協会,"59.2.5,59.3.15",
福島県,猪苗代町,区画整理,基準点,2級,7point,猪苗代町,(財)福島県区画整理協会,"58.10.20,59.3.23",
福島県,いわき市,道路計画,"基準点,水準","3級,,3級","3point,2.6km",東北地建磐城国道工事事務所,佐藤測量工業,"59.2.25,59.3.24",
福島県,相馬市,道路計画,"平板,基準点","1000,,3級","0.4KM2,2point",福島県原町建設事務所,船橋コンサルタント,"58.12.15,59.3.19",
福島県,楢葉町,ダム計画,基準点,3級,6point,福島県原町建設事務所,東コンサルタント,"58.12.15,59.3.19",
福島県,西郷村,境界調査,基準点,図根点,2point,前橋営林局,(財)林野弘済会,"58.11.18,58.12.20",
福島県,福島市,森林計画,基準点,図根点,12point,前橋営林局,郡山測量設計,"58.8.20,58.10.31",
福島県,浪江町,境界調査,基準点,図根点,10point,東北農政局請戸川農業水利事業所,(財)林野弘済会,"58.5.10,58.8.31",
福島県,原町市,地盤沈下,水準,1級,44.0km,原町市,福建コンサルタント,"59.2.21,59.3.21",1267
福島県,いわき市,道路計画,"基準点,水準","3級,,3級","2point,1.5km",東北地建磐城国道工事事務所,東コンサルタント,"59.2.25,59.3.28",
