都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,備考,2018.01.14修正
北海道,"倶知安町,",道営農道整備特別対策事業,基準点,3級,10point,助言13.05.14A0015北海道　後志支庁,㈱香島測量設計,"13.05.14
13.10.30",,
北海道,"雨竜町,",土地総面白内調査設計１,基準点,3級,18point,助言13.05.16A0016北海道　空知支庁,㈱北開測地,"13.05.21
13.12.10",,
北海道,"本別町,",排水路整備調査実施計画,基準点,3級,5point,助言13.05.16A0017北海道　十勝支庁,㈱富士雄設計コンサルタント,"13.05.16
13.08.31",,
北海道,"長沼町,",農村総合整備馬追地区,基準点,3級,3point,助言13.05.16A0018北海道　空知支庁,㈱ルーラルエンジニア,"13.05.16
13.07.23",,
北海道,"中富良野町,",かんがい排水東７線地区,基準点,3級,12point,助言13.05.16A0019北海道　上川支庁,㈱富士測量,"13.05.16
14.01.31",,
北海道,"士幌町,",凍雪害防止工事,基準点,3級,2point,助言13.05.16A0020北海道　帯広土木現業所,ロイヤルコンサルタント㈱,"13.05.21
13.05.31",,
北海道,"遠別町,",ため池中央地区,基準点,3級,11point,助言13.05.18A0021北海道　留萌支庁,㈱よしだ測量設計,"13.05.18
13.10.12",,
北海道,"津別町,",農道の調査設計他,基準点,3級,3point,助言13.05.18A0022北海道　網走支庁,㈱益村測量事務所,"13.05.18
13.07.30",,
北海道,"芽室町,",畑総上美生第２地区,基準点,3級,10point,助言13.05.18A0023北海道　十勝支庁,ロイヤルコンサルタント㈱,"13.05.21
13.05.30",,
北海道,"秩父別町,",農道整備調査設計,基準点,3級,9point,助言13.05.18A0024北海道　空知支庁,㈱前谷土木設計事務所,"13.06.01
13.08.31",,
北海道,"音更町,",排水路計画,基準点,3級,3point,助言13.05.18A0025北海道　十勝支庁,上島技術コンサルタント㈱,"13.05.18
13.07.31",,
北海道,"鶴居村,",農道特別支雪裡上,基準点,3級,19point,助言13.05.18A0026北海道　釧路支庁,山下コンサルタント㈱,"13.05.18
13.12.10",,
北海道,"共和町,",下水道管渠新設工事,基準点,3級,4point,助言13.05.22A0027北海道　小樽土木現業所,北武コンサルタント㈱,"13.05.22
13.08.30",,
北海道,"根室市,",道路計画,基準点,3級,5point,助言13.05.22A0028北海道　釧路土木現業所,㈱アイネス,"13.05.22
13.05.25",,
北海道,"本別町,",畑総上押帯地区,基準点,3級,15point,助言13.05.22A0029北海道　十勝支庁,東和工研㈱,"13.05.22
13.09.28",,
北海道,"士幌町,",畑総上押帯委託１,基準点,3級,10point,助言13.05.22A0030北海道　十勝支庁,新栄コンサルタント㈱,"13.05.22
13.08.31",,
北海道,"稚内市,",担い手草地西沼川地区,基準点,3級,15point,助言13.05.22A0031北海道　宗谷支庁,新栄コンサルタント㈱,"13.05.22
13.07.19",,
北海道,"石狩市,",公共基準点移設,基準点,1級,1point,助言13.05.22A0032石狩市,㈱中島測量設計,"13.05.22
13.07.30",,
北海道,"新十津川町,",土地改良,"カラー撮影,カラー撮影,写測修正","8000,,10000,,5000","129KM2,133KM2,90KM2",助言13.05.24A0033新十津川土地改良区,アジア航測㈱,"12.10.17
13.09.25",,
北海道,"幌加内町,",道路台帳図作成,基準点,3級,6point,助言13.05.24A0034札幌開発建設部,北海道測量事業協同組合,"13.05.25
13.07.09",,
北海道,"旭川市,",伊野川道単改修工事,"基準点,基準点","2級,,4級","1point,16point",助言13.05.24A0035北海道　旭川土木現業所,北岡土木設計㈱,"13.05.24
13.09.28",,
北海道,"小平町,",中山間農地防災事業,基準点,3級,13point,助言13.05.24A0036北海道　留萌支庁,パブリックコンサルタント㈱,"13.06.01
14.02.28",,
北海道,"上富良野町,",水質障害草分地区,基準点,3級,5point,助言13.05.24A0037北海道　上川支庁,㈱帝国設計事務所,"13.05.24
13.11.30",,
北海道,"松前町,",農道調査設計,基準点,3級,4point,助言13.05.24A0038北海道　渡島支庁,㈱伸栄コンサル,"13.05.24
13.08.03",,
北海道,"旭川市,鷹栖町,",都市計画,数値図化,2500,64.9KM2,助言13.05.24A0039旭川市,"日興・泉澤・東光共同企業体
富士・ジーアイエス・光洋共同企
業体","13.05.24
13.12.14",,
北海道,"標茶町,",道路計画,基準点,3級,18point,助言13.05.24A0040標茶町,㈱松木測量設計,"13.06.19
13.11.30",,
北海道,"根室市,",用地測量調査,"基準点,基準点","3級,,4級","2point,4point",助言13.05.24A0041北海道　釧路土木現業所,㈲高橋測量事務所,"13.05.26
13.06.29",,
北海道,"新篠津村,",土地総新沼2期,基準点,3級,3point,助言13.05.24A0042北海道　石狩支庁,㈱よしだ設計コンサルタント,"13.05.24
13.11.30",,
北海道,"帯広市,",畑総帯広北地区,基準点,3級,22point,助言13.05.24A0043北海道　十勝支庁,㈱ルーラルエンジニア,"13.05.24
13.09.28",,
北海道,"士幌町,",用地測量,基準点,3級,2point,助言13.05.24A0044北海道　十勝支庁,コスモ測量設計㈱,"13.05.24
13.07.31",,
北海道,"札幌市,",道路台帳図補正測量,基準点,3級,7point,助言13.05.25A0045札幌開発建設部   ,スミセキ・ジオテクノ㈱,"13.05.25
13.07.16",,
北海道,"小清水町,",防雪工事,基準点,2級,4point,助言13.05.25A0046北海道　網走土木現業所,㈲中央測量設計,"13.06.01
13.08.31",,
北海道,"鶴居村,",茂雪裡川改良工事,基準点,3級,3point,助言13.05.28A0047北海道　釧路土木現業所,㈲金子設計事務所,"13.05.28
13.06.29",,
北海道,"深川市,",土地総納内東,基準点,3級,3point,助言13.05.28A0048北海道　空知支庁,㈱北開測地,"13.06.06
13.12.20",,
北海道,"芽室町,",農道整備,基準点,3級,9point,助言13.05.28A0049北海道　十勝支庁,㈱田西設計コンサル,"13.05.28
13.09.20",,
北海道,"津別町,",畑総恩根地区,基準点,3級,2point,助言13.05.29A0050北海道　網走支庁,㈱巴設計,"13.05.29
13.06.30",,
北海道,"美幌町,",土地総美幌地区,基準点,3級,2point,助言13.05.29A0051北海道　網走支庁,サン技研㈱,"13.06.01
13.07.30",,
北海道,"乙部町,",農道調査設計,基準点,3級,17point,助言13.05.31A0052北海道　檜山支庁,㈱田西設計コンサル,"13.05.31
14.03.20",,
北海道,"留萌市,",農道特別礼受地区,基準点,3級,6point,助言13.05.31A0053北海道　留萌支庁,㈱帝国設計事務所,"13.04.24
13.08.31",,
