都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"豊富町,",国有地(開拓財産)の境界測量,"基準点,基準点","3級,,4級","3point,4point",北海道宗谷支庁助言630815A0455,(株)矢本測量,"63.07.29,63.09.26",,,
北海道,"恵庭市,長沼町,",恵庭栗山線特改一種工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言630811A0432,植田測量(株),"63.07.29,63.10.06",,,
北海道,"生田原町,","道路計画,242号水穂道路用確",基準点,3級,4point,網走開発建設部助言631005A0556,櫻井測量設計(株),"63.10.11,63.11.21",,,
北海道,"札幌市,",三樽別川砂防計画,基準点,3級,2point,北海道札幌土木現業所助言630714A0400,山本測量設計(株),"63.07.11,63.07.29",,,
北海道,"斜里町,",豊倉東四線通り街路舗装工事用確,基準点,3級,0.5km,北海道斜里町助言630623A0318,(有)横山測量設計事務所,"63.06.15,63.07.18",,,
北海道,"丸瀬布町,",丸瀬布町北部農道用地確定,基準点,3級,6point,北海道丸瀬布町助言630627A0329,(有)一宮測量設計事務所,"63.06.18,63.07.20",,,
北海道,"紋別市,",道路実測線調査の3級基準点測量,基準点,3級,6point,網走開発建設部助言630623A0324,平田技術コンサルタント(株),"63.06.10,63.10.04",,,
北海道,"真狩村,",河川改修(真狩川),基準点,3級,2point,北海道小樽土木現業所助言630823A0465,平田技術コンサルタント(株),"63.07.18,63.09.10",,,
北海道,"斜里町,",斜里地区明渠排水設計等業務,基準点,3級,4point,網走開発建設部助言630829A0461,(株)ドボク管理,"63.07.30,01.01.20",,,
北海道,"豊富町,",開拓地整備豊徳豊田第五地区用確,基準点,4級,1.3km,北海道宗谷支庁助言631115A0646,宗谷測量(株),"63.10.22,63.12.10",,,
北海道,"中富良野町,",ほ場整備(西中地区),"基準点,平板","4級,,1000","30point,3.7KM2",北海道上川支庁助言630704A0364,(株)富士測量,"63.05.31,01.03.15",,,
北海道,"剣淵町,",ほ場整備(中央北地区),"基準点,平板","4級,,1000","30point,3.0KM2",北海道上川支庁助言630704A0365,(株)やまざき測量設計事務所,"63.05.31,01.03.15",,,
北海道,"稚内市,",営農用水事業勇知地区用地確定,基準点,4級,3.2km,北海道宗谷支庁助言631115A0648,(株)やまざき測量設計事務所,"63.11.12,01.01.31",,,
北海道,"稚内市,",道営営農用水事業用地確定,基準点,4級,11.0km,北海道宗谷支庁助言631031A0612,(株)中神土木設計事務所,"63.10.20,63.12.09",,,
北海道,"稚内市,",営農用水事業勇知地区用地確定,基準点,4級,2.5km,北海道宗谷支庁助言631115A0647,(株)よしだ測量設計事務所,"63.11.12,01.01.31",,,
北海道,"稚内市,",畑地帯総合クトネベツ地区用確,基準点,4級,1.5km,北海道宗谷支庁助言631109A0629,北辰建設コンサルタント(株),"63.10.22,63.12.10",,,
北海道,"富良野市,",畑総土地改良麓郷地区用水路用確,基準点,4級,2.8km,北海道上川支庁助言631115A0641,(株)ヒロノ測建,"63.11.15,63.12.10",,,
北海道,"中富良野町,",土地改良総合整備宇文東道路用確,基準点,4級,1.0km,北海道上川支庁助言631115A0642,(株)ヒロノ測建,"63.11.15,63.12.10",,,
北海道,"南幌町,",未塁地中樹林地区開拓財産用確,基準点,4級,1.2km,北海道空知支庁助言631122A0658,(株)矢本測量,"63.11.17,63.12.02",,,
北海道,"風連町,",ほ場整備(日進旭・東風連地区),"基準点,平板","4級,,1000","30point,3.7KM2",北海道上川支庁助言630704A0366,"(有)小田島測量設計,旭川設計測量(株)","63.05.31,01.03.15",,,
北海道,"浜益村,三石町,恵庭市,夕張市,赤井川村,古平町,積丹町,",国有林野の境界整備,"基準点,路線","4級,,簡級","3point,33.4km",北海道営林局助言630428A0091,直営,"63.05.09,63.11.30",,,
北海道,"中頓別町,枝幸町,豊富町,上川町,愛別町,北竜町,苫前町,遠別町,",国有林野の管理経営,"基準点,路線","4級,,簡級","13point,31.8km",旭川営林支局助言630520A0141,直営,"63.06.06,63.10.15",,,
