都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
京都府,"舞鶴市,",施設測量,"基準点,基準点","3級,,4級","2point,3point",大阪防衛施設局助言F0163,(株)アズクリエイト,"1999.09.16,1999.11.30",,
京都府,"亀岡市,",ほ場整備,"基準点,基準点","2級,,3級","11point,19point",京都府亀岡土地改良事務所助言F0174,(株)ケーシック,"1999.11.18,2000.03.31",,
京都府,"舞鶴市,",道路計画,"基準点,水準","2級,,2級","2point,3km",福知山工事事務所助言F0197,日本技術開発(株),"1999.11.24,1999.12.20",,
京都府,"京都市,",道路台帳,基準点,2級,10point,京都国道工事事務所助言F0203,(株)パスコ,"1999.07.30,2000.01.31",,
京都府,"弥栄町,",農地開発,基準点,4級,0.3KM2,近畿農政局丹後開拓建設事務所助言F0205,(株)ケーシック,"1999.11.01,2000.02.10",,
京都府,"瑞穂町,夜久野町,",用地測量,"基準点,基準点","2級,,3級","12point,6point",福知山工事事務所助言F0216,近畿測地設計(株),"1999.12.06,2000.02.14",,
京都府,"京都市,久御山町,",道路台帳,"基準点,基準点","2級,,3級","14point,834point",京都府京都市助言F0217,京都測量設計協同組合,"1999.09.23,2000.03.14",,
京都府,"舞鶴市,綾部市,",道路計画,基準点,2級,10point,福知山工事事務所助言F0230,応用地質(株),"1999.12.21,2000.01.10",,
京都府,"京田辺市,",土地改良,"基準点,基準点","2級,,3級","6point,19point",京都府山城土地改良事務所助言F0238,(株)和光コンサルタント,"1999.11.18,2000.03.24",,
京都府,"城陽市,",道路台帳,"基準点,基準点","3級,,4級","3point,10point",京都府城陽市助言F0241,(株)パスコ,"2000.01.12,2000.03.24",,
京都府,"綾部市,",確定測量,"基準点,基準点","2級,,3級","10point,10point",京都府綾部市助言F0246,インフォメーションセンター京都,"1999.12.22,2000.03.27",,
京都府,"京都市,",道路計画,"基準点,基準点","1級,,3級","4point,4point",京都国道工事事務所助言F0250,(株)パスコ,"2000.01.17,2000.03.31",,
京都府,"大宮町,",農地開発,"基準点,基準点","2級,,4級","3point,0.2KM2",近畿農政局丹後開拓建設事務所助言F0251,(株)野間測地コンサルタント,"1999.12.24,2000.03.02",,
京都府,"京都市,",都市計画,"撮影,数値図修正","10000,,2500","532.8KM2,69KM2",京都府京都市助言F0285,アジア航測(株),"2000.01.18,2000.03.29",,
京都府,"丹後町,",下水道計画,数値図化,500,0.4KM2,京都府丹後町助言F0291,(株)ウエスコ,"2000.01.12,2000.03.24",,
京都府,"京都市,",道路台帳,"基準点,基準点","2級,,3級","7point,14point",京都国道工事事務所助言F0293,内外エンジニアリング(株),"2000.01.13,2000.03.25",,
京都府,"京都市,",土地区画整理,基準点,4級,62point,京都府京都市助言F0297,(株)八州,"2000.02.14,2000.03.21",,
京都府,"舞鶴市,",現況測量,"基準点,基準点","3級,,4級","8point,61point",京都府舞鶴市助言F0305,(株)サンワコン,"2000.02.21,2000.03.27",,
京都府,"八幡市,京田辺市,",道路計画,"基準点,水準","2級,,3級","8point,3.8km",日本道路公団関西支社京都工事事務所助言F0344,信和設計(株),"2000.03.23,2000.04.23",,
京都府,"福知山市,",都市計画,写測修正,2500,7.3KM2,京都府福知山市助言F0346,(株)パスコ,"2000.03.31,2000.04.29",,
京都府,"舞鶴市,福知山市,宮津市,綾部市,",河川計画及び管理,"カラー撮影,数値図修正","12500,,2500","225KM2,37.9KM2",福知山工事事務所助言F0348,(株)ジェクト,"2000.02.01,2000.04.20",,
京都府,"福知山市,京北町,園部町,丹波町,",農地環境対策事業,"カラー撮影,写真図","10000,,2500","974.2KM2,68KM2",京都府助言F0355,アジア航測(株),"2000.03.13,2000.06.22",,
大阪府,"豊中市,",道路台帳,"基準点,地上数値法","4級,,500","0.1km,0.1km",大阪府豊中市助言F0001,(株)パスコ,"1999.03.16,1999.04.30",,
大阪府,"泉佐野市,",土地区画整理,"基準点,基準点","2級,,3級","3point,5point",泉佐野市羽倉崎・松原地区土地区画整理事業助言F0003,(株)サンヨー,"1998.10.28,1999.04.30",,
