都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
埼玉県,"熊谷市,川口市,浦和市,行田市,秩父市,飯能市,東松山市,越生町,名栗村,都幾川村,嵐山町,横瀬町,皆野町,吉田町,小鹿野町,大滝村,荒川村,南河原村,児玉町,寄居町,",道路台帳,"撮影,写測図化","4000,,500","326.1KM2,14.9KM2",埼玉県助言610123C0394,アジア航測(株),"60.11.09,61.03.20",,,
埼玉県,"川口市,草加市,越谷市,八潮市,三郷市,幸手町,松伏町,吉川町,庄和町,",管内図作成,"撮影,撮影,写測修正,写測修正","12500,,8000,,2500,,1000","204.9KM2,66.7KM2,28.3KM2,3.6KM2",江戸川工事事務所助言610127C0396,アジア航測(株),"60.12.28,61.03.20",,,
埼玉県,"江南町,",道路台帳,"撮影,写測図化","4000,,500","19.0KM2,4.0KM2",埼玉県江南町助言610320C0426,関東測量(株),"60.12.02,61.03.25",602027,,
埼玉県,"寄居町,",道路台帳,"撮影,写測図化","8000,,1000","64.0KM2,64.0KM2",埼玉県寄居町助言610224C0413,新日本測量設計(株),"60.01.10,62.03.20",601968,,
埼玉県,"深谷市,川本町,",河川改修調査,"撮影,写測図化","12500,,2500","27.3KM2,3.7KM2",埼玉県南部河川改修事務所助言601220C0373,"アトラス測地(株),成果610501審査***","60.10.28,61.03.10",,,
埼玉県,"桶川市,",都市計画,"撮影,写測図化,編集","12500,,2500,,10000","25.3KM2,25.3KM2,25.3KM2",埼玉県桶川市助言601128C0346,"朝日航洋(株),成果***審査***","60.11.01,61.03.10",601651,,
埼玉県,"川口市,浦和市,大宮市,与野市,鳩ケ谷市,",河川計画,"撮影,写測図化","12500,,2500","225.3KM2,16.0KM2",埼玉県南部河川改修事務所助言610127C0395,"朝日航洋(株),成果***審査***","60.12.27,61.03.15",,,
埼玉県,"狭山市,",都市計画,"カラー撮影,写測図化","12500,,2500","49.7KM2,49.7KM2",埼玉県狭山市助言600730C0226,"国際航業(株),成果610205審査***","60.06.14,61.01.10",600888,,
埼玉県,"神川村,上里町,",河川図修正,"カラー撮影,写測修正","12500,,2500","107.0KM2,41.4KM2",高崎工事事務所助言601128C0353,"アジア航測(株),成果***審査***","60.12.05,61.03.09",,,
埼玉県,"深谷市,",都市計画,"写測図化,編集,編集","2500,,10000,,20000","38.4KM2,70.4KM2,70.4KM2",埼玉県深谷市助言600906C0266,"昭和測量工業(株),成果610213審査***","60.08.06,61.01.25",601139,,
埼玉県,"神川村,",土地改良,"写測図化,水準","1000,,3級","2.2KM2,6point",埼玉県本庄土地改良事務所助言601216C0371,"(株)パスコ,成果***審査***","60.12.10,61.02.28",,,
埼玉県,"川口市,戸田市,和光市,",河川計画,写測図化,2500,28.5KM2,荒川下流工事事務所助言600819C0244,"アジア航測(株),成果***審査***","60.06.25,60.11.21",,,
埼玉県,"東松山市,坂戸市,毛呂山町,鶴ヶ島町,川島町,鳩山町,",河川計画,写測図化,2500,46.0KM2,荒川上流工事事務所助言601220C0377,"アジア航測(株),成果***審査***","60.12.06,61.03.30",601792,,地名修正
埼玉県,"大滝村,両神村,小鹿野町,",森林計画,写真図,5000,82.5KM2,埼玉県助言600723C0220,"大成測量(株),成果610120審査***","60.08.08,61.01.10",600849,,
埼玉県,"羽生市,久喜市,",郵便地図調整,"編集,編集","10000,,25000","1316.7KM2,2202.0KM2",関東郵政局助言600424C0122,"直営,成果***審査***","60.05.20,61.03.27",,,
埼玉県,"埼玉県,",都市計画,"撮影,撮影,写真図","8000,,20000,,10000","3799.3KM2,3799.3KM2,3799.3KM2",埼玉県助言600607C0159,"アジア航測(株),成果***審査***","60.06.01,61.03.20",600439,,
千葉県,"市原市,",道路台帳,基準点,1級,57point,千葉県市原市助言600905C0259,"国際航業(株),成果610312審査610325","60.09.01,61.02.10",,,
千葉県,"飯岡町,",道路台帳,"基準点,撮影,写測図化","1級,,4000,,500","8point,18.9KM2,4.7KM2",千葉県飯岡町助言601120C0341,"(株)パスコ,成果***審査***","60.11.01,61.12.25",601621,,
