都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"雨竜町,",その他,基準点測量,３級,10point,"北海道空知総合振興局 
助言　　　H24.6.18  A0091",株式会社グリーン測量 ,"H24.6.14 
H25.1.21",,
北海道,"足寄町,",その他,基準点測量,２級,2point,"北海道十勝総合振興局 
助言　　　H24.6.18  A0092","有限会社新東測量設計
社 ","H24.6.25 
H24.9.3",,
北海道,"上富良野町,",その他,"基準点測量,基準点測量","１級,,３級","1point,3point","北海道上川総合振興局 
助言　　　H24.6.18  A0093",株式会社日興ジオテック ,"H24.5.25 
H24.11.30",,
北海道,"赤井川村,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","3point,2point,4point","北海道後志総合振興局 
助言　　　H24.6.18  A0094",ＨＲＳ株式会社 ,"H24.6.19 
H24.8.30",,
北海道,"妹背牛町,",その他,基準点測量,３級,7point,"北海道開発局札幌開発建設部 
助言　　　H24.6.18  A0095","株式会社山調住建コン
サルタント ","H24.6.18 
H24.9.5",,
北海道,"せたな町,",その他,"数値撮影(デジタル),数値撮影(デジタル),数値図化(同時調整含む),写真地図作成(デジタルオルソ),写真地図作成(デジタルオルソ)","20,,40,,2500,,2500,,5000","45.2KM2,690.2KM2,10.4KM2,10.4KM2,310.1KM2","北海道せたな町 
助言　　　H24.6.18  A0096","株式会社シン技術コンサ
ル ","H24.4.24 
H25.3.31",,
北海道,"士別市,",その他,基準点測量,３級,9point,"北海道上川総合振興局 
助言　　　H24.6.18  A0097","株式会社イズム・グリー
ン ","H24.6.14 
H24.9.10",,
北海道,"幌加内町,",その他,基準点測量,３級,4point,"北海道上川総合振興局 
助言　　　H24.6.18  A0098","株式会社葵開発コンサ
ル ","H24.6.21 
H24.11.30",,
北海道,"興部町,",その他,基準点測量,３級,4point,"北海道オホーツク総合振興局 
助言　　　H24.6.18  A0099",益村測量設計株式会社 ,"H24.5.23 
H24.9.10",,
北海道,"白糠町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","6point,11point,24point","北海道釧路総合振興局 
助言　　　H24.6.21  A0100",株式会社松木測量設計 ,"H24.6.15 
H24.10.31",,
北海道,"北広島市,",その他,基準点測量,３級,1point,"北海道空知総合振興局 
助言　　　H24.6.21  A0101","株式会社シー・イー・
サービス ","H24.6.15 
H24.12.20",,
北海道,"歌志内市,",その他,"基準点測量,基準点測量","１級,,３級","1point,2point","北海道空知総合振興局 
助言　　　H24.7.12  A0102",株式会社ケイジー技研 ,"H24.6.16 
H24.8.6",,
北海道,"滝川市,",その他,基準点測量,３級,20point,"北海道空知総合振興局 
助言　　　H24.6.21  A0103",株式会社みずほ栄設計 ,"H24.6.16 
H25.3.8",,
北海道,"美瑛町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","1point,1point,2point","北海道上川総合振興局 
助言　　　H24.6.21  A0104","株式会社イズム・グリー
ン ","H24.6.16 
H24.10.30",,
北海道,"長万部町,",その他,"基準点測量,基準点測量","１級,,３級","2point,3point","北海道渡島総合振興局 
助言　　　H24.6.25  A0105","株式会社構研エンジニア
リング ","H24.5.18 
H24.9.28",,
北海道,"陸別町,",その他,基準点測量,３級,7point,"北海道十勝総合振興局 
助言　　　H24.6.25  A0106",野外科学株式会社 ,"H24.6.14 
H24.10.9",,
北海道,"別海町,",その他,基準点測量,３級,11point,"北海道別海町 
助言　　　H24.6.25  A0107",岩浅測量設計有限会社 ,"H24.6.13 
H24.10.1",,
北海道,"古平町,",その他,基準点測量,２級,1point,"北海道後志総合振興局 
助言　　　H24.6.25  A0108",和光技研株式会社 ,"H24.6.16 
H24.10.1",,
北海道,"旭川市,",その他,"基準点測量,基準点測量","３級,,４級","12point,65point","北海道上川総合振興局 
助言　　　H24.6.25  A0109","東光コンサルタント株式
会社 ","H24.6.19 
H24.10.30",,
北海道,"美瑛町,",その他,基準点測量,３級,4point,"北海道上川総合振興局 
助言　　　H24.6.25  A0110",株式会社開発工営社 ,"H24.6.19 
H24.12.20",,
北海道,"清里町,",その他,"基準点測量,路線測量","３級,,","6point,1.65km","北海道オホーツク総合振興局 
助言　　　H24.6.25  A0111",株式会社ドボク管理 ,"H24.6.19 
H24.9.30",,
北海道,"美瑛町,",その他,基準点測量,３級,7point,"北海道美瑛町 
助言　　　H24.6.25  A0112","新栄コンサルタント株式
会社 ","H24.5.31 
H24.10.30",,
北海道,"共和町,",その他,基準点測量,３級,7point,"北海道後志総合振興局 
助言　　　H24.6.25  A0113","株式会社北海道農業建
設コンサルタント ","H24.6.19 
H24.10.31",,
北海道,"滝川市,",その他,基準点測量,３級,9point,"北海道空知総合振興局 
助言　　　H24.6.25  A0114","やまざきコンサルタント株
式会社 ","H24.6.16 
H25.2.28",,
