都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.09修正
群馬県,"太田市,",土地区画整理,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","5point,28point,274point,0.9KM2",群馬県太田市助言630301C0287,エース都市設計(株),"63.02.15,64.03.31",,,
群馬県,"前橋市,",空港計画,"基準点,水準","2級,,2級","2point,8.0km",群馬県助言620818C0070,朝日航洋(株),"62.07.28,62.08.30",,,
群馬県,"高崎市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","31point,202point,0.8KM2",群馬県高崎市助言630215C0258,協和測量設計(株),"62.12.20,63.03.20",,,
群馬県,"高崎市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,250","10point,23point,0.1KM2",群馬県高崎市助言630118C0227,田中測量設計(株),"62.12.25,63.02.29",,,
群馬県,"高崎市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","5point,64point,0.1KM2",高崎市浜尻南土地区画整理組合助言630215C0257,(有)横田調査設計事務所,"62.12.11,63.03.25",,,
群馬県,"上野村,",国有林経営,基準点,4級,2point,農林水産省前橋営林局助言620521C0015,(財)林業土木コンサルタンツ,"62.05.18,62.05.31",,,
群馬県,"草津町,",国有林管理,基準点,4級,3point,農林水産省前橋営林局助言621119C0174,(財)林野弘済会,"62.11.16,62.11.30",,,
群馬県,"太田市,館林市,尾島町,新田町,板倉町,明和村,千代田町,大泉町,邑楽町,",地盤変動調査,水準,1級,217.0km,群馬県助言621130C0182,朝日航洋(株),"62.11.02,63.03.31",621874,,
群馬県,"草津町,",道路台帳,平板,500,1.0KM2,日本道路公団志賀草津道路管理事務所助言621005C0103,"日本技術開発(株),(株)東光コンサルタンツ","62.08.18,62.12.15",,,
群馬県,"新町,",土地区画整理,平板,250,0.1KM2,群馬県新町助言620616C0028,(株)高崎測量,"62.04.10,62.06.18",,,
群馬県,"前橋市,",土地区画整理,平板,500,0.6KM2,群馬県前橋市助言620703C0039,技研測量設計(株),"62.07.01,63.03.18",,,
群馬県,"伊勢崎市,境町,尾島町,新田町,",河川計画,撮影,15000,300.0KM2,利根川上流工事事務所助言630208C0238,アジア航測(株),"62.12.25,63.03.23",622181*,,
群馬県,"沼田市,館林市,大泉町,邑楽町,",河川管理,"撮影,撮影,写測図化","12500,,25000,,2500","812.9KM2,812.9KM2,30.0KM2",渡良瀬川工事事務所助言630222C0272,(株)協同測量社,"62.11.25,63.02.20",622275*,,
群馬県,"黒保根村,",総合計画,"撮影,写測図化","30000,,10000","102.4KM2,102.4KM2",群馬県黒保根村助言621214C0191,技研測量設計(株),"62.11.18,63.06.30",621941,,
群馬県,"沼田市,",都市計画,"撮影,写測図化,写測修正,編集","8000,,2500,,2500,,10000","116.0KM2,58.1KM2,32.0KM2,65.1KM2",群馬県沼田市助言620612C0020,セントラル航空測量(株),"62.05.13,62.10.30",620546,,
群馬県,"榛東村,",都市計画,"撮影,写測修正","12500,,2500","27.7KM2,27.7KM2",群馬県榛東村助言621202C0184,セントラル航空測量(株),"62.10.25,63.02.10",621876,,
群馬県,"吉岡村,",都市計画,"撮影,写測修正","12500,,2500","20.7KM2,20.7KM2",群馬県吉岡村助言630114C0208,セントラル航空測量(株),"62.12.01,63.02.15",622055,,
群馬県,"太田市,東村,笠懸村,",道路計画,カラー撮影,8000,19.0KM2,高崎工事事務所助言630301C0282,アジア航測(株),"63.02.05,63.03.25",622332*,,
群馬県,"玉村町,",都市計画,写測修正,2500,25.5KM2,群馬県玉村町助言620612C0023,アジア航測(株),"62.04.14,62.06.30",620549,,
埼玉県,"和光市,",土地区画整理,"基準点,基準点,基準点,平板","1級,,3級,,4級,,500","3point,20point,191point,0.3KM2",埼玉県和光市助言621116C0163,東日本航空(株),"62.10.20,63.03.30",,,
