都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
京都府,"野田川町,加悦町",道路台帳,"撮影,撮影,写測,写測","8000,,12500,,2500,,1000","78.0KM2,110.0KM2,16.0KM2,3.96KM2",野田川町,内外エンジニアリング,"55.3.31,56.3.25",1377,,,地名修正,,
大阪府,狭山町,道路台帳,"撮影,空三","3000,,","12.1KM2,127model",狭山町,パシフイック航業,"54.4.2,54.5.31",,,,郡削除,,
大阪府,四條畷市,道路改築,写測,1000,1.7KM2,近畿地建浪速国道工事事務所,国際航業,"54.6.1,54.7.31",,,,,,
大阪府,和泉市,宅地開発,"撮影,写測","6000,,1000","47.4KM2,13.1KM2",宅地開発公団関西支所,国際航業,"54.7中,54.12.20",231,,,,,
大阪府,堺市,道路台帳,写測,500,8.3KM2,堺市,国際航業,"54.7.1,55.3.31",,,,,,
大阪府,松原市,道路台帳,"撮影,写測","4000,,500","17.2KM2,16.6KM2",松原市,国際航業,"54.6.15,57.3.31",,,,,,
大阪府,寝屋川市,道路台帳,"撮影,写測","4000,,500","24.0KM2,24.0KM2",寝屋川市,アジア航測,"54.6.15,56.3.30",370,,,,,
大阪府,狭山町,道路台帳,写測,500,12.1KM2,狭山町,パシフイック航業,"54.8.15,55.9.30",,,,郡削除,,
大阪府,"豊中市,吹田市,茨木市,高槻市,摂津市,守口市,寝屋川市,枚方市,交野市,門真市,四條畷市,大東市,東大阪市,八尾市,柏原市,藤井寺市,羽曳野市,松原市,美原町,狭山町,堺市,高石市,泉大津市,和泉市,忠岡町,岸和田市,貝塚市,熊取町,田尻町,阪南町,泉南町,泉佐野市",地盤沈下,水準,,658.0km,大阪府,"八洲測量,大阪測量,南海コンサルタント,サンヨー開発","54.10.1,55.2.28",562,,,郡削除,,地名修正
大阪府,四條畷市,(修正)都市計画,"撮影,写測,写測","12500,,2500,,10000","25.0KM2,20.0KM2,20.0KM2",四条畷市,アジア航測,"54.6.21,54.9.30",597,,,,,地名修正
大阪府,枚方市,地盤沈下,水準,,62.0km,枚方市,大阪測量,"54.10.1,55.2.28",599,,,,,
大阪府,高槻市,道路台帳,"撮影,写測","4000,,500","8.2KM2,9.2KM2",高槻市,パシフイック航業,"54.9.7,55.2.15",,,,,,
大阪府,泉南市,道路台帳,写測,500,3.5KM2,泉南市,パシフイック航業,"54.9.7,55.3.31",,,,,,
大阪府,摂津市,道路台帳,写測,500,0.6KM2,揖津市,パシフイック航業,"54.8.22,55.2.28",,,,,,地名修正
大阪府,大阪市,地盤沈下,水準,,194.6km,大阪市,日本工事測量,"54.10.1,55.2.28",711,,,,,
大阪府,大阪市,防潮堤沈下調査,水準,,128.8km,大阪府西大阪治水事務所,東洋航空,"54.10.31,55.3.25",,,,,,
大阪府,東大阪市,地域計画,"撮影,写測","12500,,2500","570.5KM2,229.3KM2",大阪府,アジア航測,"54.10.31,55.3.25",781,,測量地域修正,,,
大阪府,東大阪市,道路台帳,多角,,9.6km,東大阪市,(株)日建技術コンサルタント,"54.10.11,55.3.31",,,,,,
大阪府,堺市,地盤沈下,水準,,63.0km,堺市,本洲測量設計,"54.11.1,55.2.28",783,,,,,
大阪府,枚方市,道路台帳,"撮影,写測新規,写測修正","4000,,500,,500","14.0KM2,7.0KM2,0.6KM2",枚方市,国際航業,"54.10.15,55.3.25",791,写測修正,,,,
大阪府,堺市,下水道台帳,写測,500,1.7KM2,堺市,国際航業,"54.12.1,55.3.31",,,,,,
大阪府,東大阪市,地盤沈下,水準,,20.0km,東大阪市,新都市設計,"54.12.5,55.2.28",1020,,,,,
大阪府,守口市,地盤沈下,水準,,21.0km,守口市,パシフイック航業,"54.12.1,55.2.20",1065,,,,,
大阪府,,港湾構造物沈下調査,水準,,121.7km,大阪市港湾局,大阪測量,"55.1.7,55.3.25",,,,大阪港,,
大阪府,守口市,道路維持管理,基準点,,11point,守口市,東洋航空事業,"54.12.19,55.2.18",,,,,,
大阪府,千早赤阪村,道路台帳,"撮影,写測","4000,,500","14.0KM2,0.9KM2",千早赤阪村,サンヨー開発測量,"54.12.6,57.3.31",1267,,,郡削除,,
大阪府,"堺市,藤井寺市",河川改修,撮影,4000,13.3KM2,近畿地建大和工事事務所,アジア航測,"55.2.16,55.3.29",,,測量地域修正,,,
