都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,2018.01.14修正,
北海道,"新十津川町,",土地改良,"基準点,平板","3級,,1000","55point,2.0KM2","北海道空知支庁
助言H16.6.25A0101",北日本測地(株),"H16.6.25
H17.2.28",,
北海道,"別海町,",道路管理,基準点,3級,8point,"別海町
助言H16.6.25A0102",ダイシン設計(株),"H16.6.23
H16.11.10",,
北海道,"栗山町,",道路計画,"基準点,座標変換","3級,,2級","6point,1point","栗山町
助言H16.6.25A0103",北日本技研(株),"H16.6.7
H16.7.1",,
北海道,"別海町,",計画,基準点,3級,14point,"北海道根室支庁
助言H16.6.24A0104",(有)津村測量,"H16.6.25
H17.2.10",,
北海道,"網走市,",道路用地,基準点,3級,3point,"北海道網走支庁
助言H16.6.24A0105",(有)道和測量,"H16.6.25
H16.9.30",,
北海道,"七飯町,",農地開発,基準点,2級,2point,"北海道渡島支庁
助言H16.6.24A0106",(有)皆川測量事務所,"H16.6.28
H16.8.31",,
北海道,"中札内村,",農地開発,基準点,3級,6point,"帯広開発建設部
助言H16.6.25A0107",(株)不二陸水工研,"H16.6.15
H16.9.20",,
北海道,"中札内村,",土地改良,基準点,3級,10point,"帯広開発建設部
助言H16.6.25A0108",太陽コンサルタンツ(株),"H16.6.15
H16.10.12",,
北海道,"島牧村,",地すべり対策,基準点,3級,5point,"北海道小樽土木現業所
助言H16.6.25A0109",大地コンサルタント(株),"H16.6.3
H17.3.22",,
北海道,"幌加内町,",河川計画,基準点,3級,1point,"北海道石狩支庁
助言H16.6.30A0110",共和コンサルタント(株),"H16.6.28
H16.12.20",,
北海道,"奥尻町,",道路用地,"基準点,基準点","１級,,3級","2point,2point","北海道函館土木現業所
助言H16.6.30A0111",植田測量(株),"H16.8.27
H16.10.31",,
北海道,"新得町,",改良,基準点,3級,11point,"北海道十勝支庁
助言H16.6.30A0112",(有)松田測量設計事務所,"H16.6.28
H16.9.30",,
北海道,"長沼町,",改良,基準点,3級,19point,"北海道空知支庁
助言H16.6.30A0113",(株)みずほ栄設計,"H16.6.25
H17.3.10",,
北海道,"美瑛町,",砂防計画,基準点,１級,3point,"旭川開発建設部
助言H16.6.30A0114",(株)測図社,"H16.5.13
H16.7.30",,
北海道,"三笠市,",河川計画,水準,2級,25.0km,"石狩川開発建設部
助言H16.6.30A0115",日測技研(株),"H16.6.24
H17.1.12",,
北海道,"幕別町,",改良,基準点,3級,9point,"帯広開発建設部
助言H16.6.30A0116",冨洋設計(株),"H16.6.25
H16.10.12",,
北海道,"中札内村,",農地開発,基準点,3級,7point,"帯広開発建設部
助言H16.6.30A0117",(株)北日本ソイル総合研究所,"H16.6.22
H16.9.21",,
北海道,"中札内村,更別村,",農地開発,基準点,3級,6point,"帯広開発建設部
助言H16.6.30A0118",(株)三祐コンサルタンツ,"H16.6.23
H16.10.4",,
北海道,"新篠津村,",土地改良,基準点,3級,3point,"札幌開発建設部札幌北農業事務所
助言H16.6.30A0119",(株)三幸測量設計社,"H16.5.28
H16.9.24",,
北海道,"中川町,",農道計画,基準点,3級,2point,"北海道上川支庁
助言H16.6.30A0120",(株)ダイイチプラニング,"H16.6.29
H17.2.10",,
北海道,"当別町,",改良,基準点,3級,24point,"北海道石狩支庁
助言H16.6.30A0121",(株)極東コンサルタント,"H16.6.29
H16.9.30",,
北海道,"島牧村,",道路用地,"基準点,座標変換,座標変換","3級,,2級,,3級","2point,2point,4point","北海道後志支庁
助言H16.6.30A0122",エム･ケーコンサルタント(株),"H16.6.29
H16.9.30",,
北海道,"戸井町,",道路用地,基準点,4級,7point,"北海道渡島支庁
助言H16.6.30A0123",サンコーコンサルタント(株),"H16.6.29
H16.8.31",,
北海道,"赤井川村,",計画,"基準点,基準点","2級,,3級","1point,2point","赤井川村
助言H16.6.30A0124",(株)シー･イー･サービス,"H16.7.1
H16.10.20",,
北海道,"知内町,",計画,基準点,2級,3point,"北海道渡島支庁
助言H16.6.30A0125",メルテックコンサルタント(株),"H16.6.28
H16.8.30",,
北海道,"名寄市,",改良,"基準点,基準点","2級,,3級","2point,61point","北海道上川支庁
助言H16.6.30A0126",やまざきコンサルタント(株),"H16.6.28
H17.2.10",,
北海道,"豊浦町,",その他,"基準点,座標変換","3級,,2級","11point,6point","室蘭開発建設部
助言H16.6.30A0127",新和測量(株),"H16.6.30
H16.10.26",,
北海道,"芦別市,赤平市,",計画,基準点,3級,3point,"北海道石狩支庁
助言H16.6.30A0128",(株)ケント技研,"H16.7.5
H16.8.31",,
北海道,"滝上町,",地籍調査,"基準点,座標変換","2級,,2級","15point,4point","滝上町
助言H16.7.2A0129",(株)ムラコシ,"H16.7.1
H17.3.18",,
北海道,"厚真町,",土地改良,基準点,2級,9point,"北海道胆振支庁
助言H16.7.6A0130",前田測量(株),"H16.6.29
H16.7.30",,
北海道,"旭川市,",河川計画,"基準点,基準点,水準","2級,,3級,,2級","1point,14point,11.7km","北海道上川支庁
助言H16.7.6A0131",(株)ドーコン,"H16.6.28
H17.3.18",,
北海道,"佐呂間町,",その他,"基準点,基準点","１級,,3級","2point,4point","北海道網走支庁
助言H16.7.2A0132",北林測量(株),"H16.7.2
H16.12.30",,
北海道,"幌加内町,",改良,基準点,3級,15point,"北海道空知支庁
助言H16.7.2A0133",(株)北開測地,"H16.7.2
H17.2.25",,
北海道,"八雲町,",その他,基準点,3級,2point,"北海道渡島支庁
助言H16.7.2A0134",(株)ダイワシビル設計,"H16.7.2
H16.10.29",,
北海道,"厚真町,",計画,"基準点,座標変換,座標変換","3級,,2級,,3級","7point,1point,1point","厚真町
助言H16.7.6A0135",(株)シン技術コンサル,"H16.7.5
H16.10.29",,
北海道,"別海町,",農地開発,"基準点,座標変換","3級,,2級","3point,1point","北海道根室支庁
助言H16.7.6A0136",(有)高橋測量事務所,"H16.7.5
H16.9.15",,
北海道,"留寿都村,",道路用地,"基準点,基準点","2級,,3級","3point,1point","北海道後志支庁
助言H16.7.6A0137",(有)柴崎測量,"H16.7.2
H16.9.30",,
北海道,"共和町,",道路用地,基準点,１級,4point,"北海道後志支庁
助言H16.7.6A0138",(株)ケイジー技研,"H16.7.2
H16.9.30",,
北海道,"共和町,",改良,基準点,3級,2point,"北海道胆振支庁
助言H16.7.6A0139",(株)山口技研コンサルタント,"H16.7.5
H16.9.30",,
北海道,"戸井町,",急傾斜地工事,基準点,3級,2point,"北海道渡島支庁
助言H16.7.6A0140",(株)北海道技術コンサルタント,"H16.6.7
H16.12.20",,
北海道,"戸井町,",砂防計画,数値図修正,2500,2.4KM2,"北海道渡島支庁
助言H16.7.7A0141",(株)シン技術コンサル,"H16.7.6
H16.12.20",,
北海道,"新篠津村,",土地区画整理,基準点,3級,18point,"北海道石狩支庁
助言H16.7.6A0142",(株)牧野測量,"H16.7.5
H16.8.30",,
北海道,"占冠村,",河川管理,基準点,,5point,"北海道旭川土木現業所
助言H16.7.6A0143",(株)ランドプランニング,"H16.7.5
H16.7.5",,
北海道,"江差町,",道路用地,基準点,3級,3point,"函館開発建設部
助言H16.7.6A0144",(株)月舘測量設計事務所,"H16.7.5
H16.9.6",,
北海道,"厚田村,",道路用地,基準点,3級,1point,"北海道石狩支庁
助言H16.7.6A0145",(株)ケイジー技研,"H16.7.6
H16.9.30",,
北海道,"壮瞥町,",地籍調査,基準点,2級,14point,"壮瞥町
助言H16.7.7A0146",オオハシコンサルタント(株),"H16.7.6
H17.3.4",,
北海道,"江別市,",道路台帳,基準点,3級,5point,"札幌開発建設部
助言H16.7.7A0147",共栄測量設計(株),"H16.7.6
H16.8.26",,
北海道,"池田町,",河川管理,基準点,3級,18point,"帯広開発建設部
助言H16.7.9A0148",(株)東亜エンジニアリング,"H16.7.7
H16.10.25",,
北海道,"豊富町,",道路台帳,基準点,3級,7point,"稚内開発建設部
助言H16.7.8A0149",旭川設計測量(株),"H16.7.7
H16.10.5",,
北海道,"江差町,乙部町,",道路用地,基準点,2級,7point,"函館開発建設部
助言H16.7.8A0150",北海道測量事業協同組合,"H16.7.7
H16.10.15",,
北海道,"美唄市,",改良,基準点,3級,31point,"北海道空知支庁
助言H16.7.12A0151",(株)空知コンサルタント,"H16.7.8
H17.2.25",,
北海道,"由仁町,",改良,"基準点,基準点","3級,,4級","2point,2point","北海道空知支庁
助言H16.7.12A0152",(有)井上開発技研,"H16.7.8
H16.7.30",,
北海道,"幕別町,",改良,基準点,3級,10point,"帯広開発建設部
助言H16.7.12A0153",内外エンジニアリング(株),"H16.7.8
H16.10.19",,
北海道,"浜中町,",道路台帳,基準点,3級,8point,"釧路開発建設部
助言H16.7.9A0154",東邦コンサルタント(株),"H16.7.7
H16.11.12",,
北海道,"厚岸町,",道路用地,基準点,3級,13point,"釧路開発建設部
助言H16.7.9A0155",山下コンサルタント(株),"H16.7.12
H16.11.19",,
北海道,"北見市,",改良,基準点,4級,24point,"北海道網走支庁
助言H16.7.12A0156",(株)ドボク管理,"H16.7.8
H16.10.12",,
北海道,"興部町,",道路用地,"基準点,基準点","１級,,2級","5point,12point","網走開発建設部
助言H16.7.12A0157",東和工研(株),"H16.7.20
H16.11.26",,
北海道,"天塩町,",国有林野敷地確定,基準点,3級,4point,"留萌開発建設部
助言H16.7.12A0158",留萌測量設計(株),"H16.7.12
H16.8.30",,
北海道,"岩見沢市,三笠市,",改良,基準点,3級,5point,"札幌開発建設部岩見沢晨業事務所
助言H16.7.12A0159",サンスイコンサルタント(株),"H16.7.8
H16.11.8",,
北海道,"江差町,",道路用地,基準点,2級,1point,"北海道渡島支庁
助言H16.8.10A0160",西武測量(株),"H16.8.20
H16.11.30",,
北海道,"名寄市,",道路台帳,基準点,3級,12point,"旭川開発建設部
助言H16.7.14A0161",新栄コンサルタント(株),"H16.7.16
H16.11.17",,
北海道,"幕別町,",改良,基準点,3級,12point,"帯広開発建設部
助言H16.7.14A0162",(株)フロンティア技研,"H16.7.9
H16.10.19",,
北海道,"長万部町,",道路用地,基準点,3級,5point,"函館開発建設部
助言H16.7.14A0163",協友測量設計(株),"H16.7.9
H16.9.13",,
北海道,"帯広市,",改良,基準点,3級,6point,"北海道十勝支庁
助言H16.7.14A0164",(株)土木技術コンサルタント,"H16.7.9
H16.9.30",,
北海道,"喜茂別町,",地籍調査,"基準点,基準点",2級,"10point,180point","喜茂別町
助言H16.7.14A0165",(株)極東コンサルタント,"H16.7.12
H16.9.30",,
北海道,"別海町,",道路台帳,基準点,2級,3point,"釧路開発建設部
助言H16.7.13A0166",太平洋総合コンサルタント(株),"H16.7.8
H16.10.22",,
北海道,"別海町,",不用物件調査,基準点,3級,2point,"釧路開発建設部
助言H16.7.13A0167",太平洋総合コンサルタント(株),"H16.7.8
H16.10.22",,
