都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
香川県,"大川町,",ほ場整備,基準点,3級,12point,香川県大川土地改良事務所助言090818H0072,香川県土地改良事業団体連合会,"09.08.20,10.03.31",
香川県,"綾上町,",ほ場整備,基準点,3級,2point,香川県綾歌土地改良事務所助言090821H0074,香川県土地改良事業団体連合会,"09.08.25,09.10.27",
香川県,"綾南町,",ほ場整備,基準点,3級,2point,香川県綾南町助言090901H0078,香川県土地改良事業団体連合会,"09.09.01,09.12.25",
香川県,"三木町,",ほ場整備,基準点,3級,4point,香川県中部土地改良事務所助言090904H0083,香川県土地改良事業団体連合会,"09.09.10,10.03.31",
香川県,"三野町,",ほ場整備,基準点,3級,12point,香川県三豊土地改良事務所助言090910H0088,香川県土地改良事業団体連合会,"09.09.01,10.03.20",
香川県,"琴南町,",ほ場整備,基準点,3級,4point,香川県琴南町助言100330H0180,香川県土地改良事業団体連合会,"10.05.01,11.02.26",
香川県,"財田町,",道路計画,"撮影,空三,水準,数値図化","10000,,簡級,,2500","24.5KM2,13M,12.8km,9.8KM2",建設省四国地方建設局徳島工事事務所助言100126H0142,(株)ウエスコ,"10.01.22,10.03.27",2962*
香川県,"高松市,三木町,長尾町,綾歌町,財田町,",ほ場整備その他計画,"撮影,空三,写測図化,水準","15000,,15000,,2500,,簡級","562.1KM2,23M,52.1KM2,46.1km",香川県助言090903H0081,国際航業(株),"09.08.28,10.01.15",1749
香川県,"志度町,",固定資産,"カラー撮影,カラー撮影,写真図,写真図","5000,,10000,,500,,1000","1.8KM2,40.0KM2,1.8KM2,40.0KM2",香川県志度町助言090516H0009,国際航業(株),"09.05.06,10.01.20",304
香川県,"綾南町,",下水道計画,"カラー撮影,数値図化,空三","5000,,500","31.8KM2,0.9KM2,28M",香川県綾南町助言100119H0136,アジア航測(株),"10.01.12,10.03.20",2958
香川県,"牟礼町,",固定資産,"カラー撮影,空三,水準,写真図","10000,,簡級,,1000","16.5KM2,31M,31.0km,16.5KM2",香川県牟礼町助言090718H0049,国際航業(株),"09.07.22,10.03.25",920
香川県,"高松市,丸亀市,坂出市,善通寺市,観音寺市,綾南町,国分寺町,飯山町,高瀬町,豊中町,大野原町,豊浜町,",道路環境調査,カラー撮影,10000,198.4KM2,日本道路公団四国支社善通寺管理事務所助言091117H0118,国際航業(株),"09.11.13,10.01.06",2628*
香川県,"志度町,",下水道台帳,"数値図化,空三,水準","1000,,簡級","2.0KM2,56M,34.0km",香川県志度町助言090904H0085,国際航業(株),"09.08.25,10.03.27",
香川県,"綾上町,",下水道計画,数値図化,2500,4.5KM2,香川県綾上町助言100203H0147,(株)ウエスコ,"10.01.05,10.03.25",
香川県,"内海町,",ダム計画,"空三,写測図化",1000,"4M,2.0KM2",香川県土庄土木事務所助言090620H0030,アジア航測(株),"09.06.16,09.09.30",
香川県,"高瀬町,山本町,財田町,",河川管理,"写測図化,編集","2500,,2500","5.0KM2,2.5KM2",水資源開発公団香川用水管理所助言091021H0104,国際航業(株),"09.10.17,09.11.28",
香川県,"香南町,",都市計画,"写測図化,白地図等","2500,,2500","4.1KM2,14.7KM2",香川県香南町助言100219H0161,国際航業(株),"10.02.19,10.03.31",
香川県,"丸亀市,大内町,財田町,国分寺町,直島町,",郵便地図調製,"編集,編集","10000,,25000","464.9KM2,626.7KM2",四国郵政局助言090609H0018,直営,"09.06.17,09.11.19",
