都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
秋田県,"雄勝町,",道路計画,"撮影,写測図化","8000,,2500","28.7KM2,9.0KM2",湯沢工事事務所助言071107B0220,アジア航測(株),"07.11.07,08.03.15",
秋田県,"鷹巣町,大館市,",道路計画,"撮影,写測図化","8000,,1000","40.0KM2,8.9KM2",能代工事事務所助言071130B0253,アジア航測(株),"07.11.30,08.03.25",
秋田県,"仙南村,",ほ場整備,"撮影,写測図化","8000,,1000","18.8KM2,4.0KM2",秋田県仙南村助言071102B0211,朝日航洋(株),"07.11.02,07.12.26",2206
秋田県,"皆瀬村,",道路計画,"撮影,写測図化","10000,,2500","12.0KM2,1.8KM2",秋田県皆瀬村助言070529B0039,国際航業(株),"07.05.29,07.06.30",
秋田県,"森吉町,",都市計画,"撮影,写測修正","12500,,2500","51.2KM2,12.9KM2",秋田県森吉町助言071102B0206,国際航業(株),"07.11.02,08.03.20",
秋田県,"岩城町,本荘市,西目町,仁賀保町,金浦町,象潟町,",道路計画,"撮影,撮影,空三,空三","12500,,8000,,12500,,8000","181.8KM2,196.4KM2,55M,107M",秋田工事事務所助言071211B0260,国際航業(株),"07.12.11,08.03.15",
秋田県,"鹿角市,",河川管理,"撮影,写測図化","20000,,5000","537.4KM2,18.0KM2",岩手工事事務所助言071211B0258,アジア航測(株),"07.12.11,08.02.29",2611*
秋田県,"湯沢市,稲川町,皆瀬村,",道路計画,"撮影,写測図化,写測修正","20000,,5000,,5000","67.7KM2,6.7KM2,16.5KM2",秋田県雄勝土木事務所助言070925B0170,(株)創研コンサルタント,"07.09.25,08.03.01",1693
秋田県,"二ツ井町,能代市,藤里町,鷹巣町,合川町,上小阿仁村,琴丘町,山本町,",都市計画,撮影,30000,460.0KM2,秋田県二ツ井町助言070623B0066,(株)パスコ,"07.06.23,07.12.20",621
秋田県,"秋田市,河辺町,天王町,雄和町,",地番現況図作成,カラー撮影,5000,315.0KM2,秋田県秋田市助言070529B0033,(株)パスコ,"07.05.29,08.02.29",329
秋田県,"大館市,鹿角市,小坂町,田代町,比内町,鷹巣町,",都市計画,"カラー撮影,カラー撮影","5000,,12500","34.0KM2,514.0KM2",秋田県大館市助言070607B0044,(株)パスコ,"07.06.07,08.08.30",0450*
秋田県,"二ツ井町,能代市,藤里町,",固定資産現況調査,カラー撮影,8000,130.0KM2,秋田県二ツ井町助言070529B0034,(株)パスコ,"07.05.29,08.03.15",330
秋田県,"横手市,仙南村,",固定資産現況調査,カラー撮影,8000,29.0KM2,秋田県横手市助言070529B0035,(株)パスコ,"07.05.29,07.07.30",331
秋田県,"昭和町,飯田川町,天王町,秋田市,井川町,",固定資産評価調査,カラー撮影,8000,81.0KM2,秋田県昭和町助言070529B0036,(株)パスコ,"07.05.29,08.02.28",332
秋田県,"鳥海町,",ダム計画,"空三,写測図化","25000,,5000","5M,15.0KM2",鳥海ダム調査事務所助言070706B0081,アジア航測(株),"07.08.01,08.03.31",796
秋田県,"大館市,小坂町,",道路計画,"写測図化,編集","1000,,1000","6.6KM2,0.8KM2",能代工事事務所助言080226B0334,国際航業(株),"08.02.26,08.03.15",
秋田県,"岩城町,本荘市,西目町,仁賀保町,金浦町,象潟町,",道路計画,写測図化,1000,14.3KM2,秋田工事事務所助言080209B0327,"朝日航洋(株),アジア航測(株)","08.02.09,08.03.29",
秋田県,"秋田市,昭和町,天王町,",都市計画,"写測図化,写測修正,空三","2500,,2500,,12500","33.0KM2,48.9KM2,21M",秋田県助言070803B0116,国際航業(株),"07.08.03,08.03.10",1162
秋田県,"岩城町,本荘市,西目町,仁賀保町,金浦町,象潟町,",道路計画,"写測図化,編集","2500,,2500","31.2KM2,44.8KM2",秋田工事事務所助言080116B0296,国際航業(株),"08.01.16,08.03.29",
秋田県,"上小阿仁村,合川町,",下水道計画,写測図化,2500,2.3KM2,秋田県上小阿仁村助言070929B0178,朝日航洋(株),"07.08.04,07.11.30",
秋田県,"神岡町,南外村,",河川計画,写測図化,2500,8.0KM2,湯沢工事事務所助言071011B0192,朝日航洋(株),"07.10.11,08.02.20",
秋田県,"大曲市,神岡町,",河川計画,写測図化,2500,8.2KM2,湯沢工事事務所助言080122B0306,朝日航洋(株),"08.01.22,08.03.27",
山形県,"山形市,",工業団地用地確測,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","3point,12point,0.5KM2,0.5KM2",山形県山形市助言070914B0162,(株)田村測量設計事務所,"07.09.14,07.12.20",
山形県,"山形市,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","3point,16point,0.6KM2,0.6KM2",山形市馬見ケ崎土地区画整理組合助言071011B0189,(株)田村測量設計事務所,"07.10.11,08.03.25",
山形県,"鶴岡市,",工業団地造成,"基準点,基準点,水準,平板,編集","2級,,4級,,3級,,500,,1000","6point,0.2KM2,5.0km,0.2KM2,0.2KM2",鶴岡市開発公社助言070517B0019,(株)石川測量事務所,"07.05.17,07.08.31",
山形県,"尾花沢市,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","2point,6point,0.3KM2,0.1KM2",山形県尾花沢市助言070623B0064,(株)成和技術,"07.06.23,07.10.31",
山形県,"天童市,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","4point,12point,0.4KM2,0.4KM2",天童市天童北部土地区画整理組合助言080116B0293,三協技術(株),"08.01.16,08.03.20",
山形県,"南陽市,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","3point,7point,0.3KM2,0.3KM2",山形県南陽市助言070706B0077,〔財〕山形県都市整備協会,"07.07.06,07.09.30",
山形県,"河北町,東根市,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","2point,5point,0.2KM2,0.2KM2",河北町荒町東土地区画整理組合助言070717B0093,〔財〕山形県都市整備協会,"07.07.17,08.02.25",
山形県,"新庄市,",土地区画整理,"基準点,基準点,基準点,地上数値法,地上数値法","2級,,3級,,4級,,500,,1000","2point,5point,0.2KM2,0.2KM2,0.2KM2",新庄市小檜室土地区画整理組合助言071011B0190,〔財〕山形県都市整備協会,"07.10.11,08.03.05",
