都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,
北海道,"札幌市,",道路計画,基準点,3級,8point,"札幌開発建設部
助言H15.6.30A0184",ロイヤルコンサルタント(株),"H15.6.30
H15.8.11",
北海道,"雨竜町,",道路用地,"基準点,基準点,座標変換","2級,,3級,,3級","2point,3point,3point","北海道札幌土木現業所
助言H15.7.7A0185",協立測量設計(株),"H15.7.3
H15.9.10",
北海道,"小平町,",土地改良,"基準点,座標変換","3級,,地籍図根点","3point,3point","北海道留萌支庁
助言H15.6.30A0186",(株)香島コンサルタント,"H15.6.25
H15.7.31",
北海道,"松前町,",道路用地,"座標変換,基準点","2級,,2級","1point,3point","函館開発建設部
助言H15.7.4A0187",北海道測量事業協同組合,"H15.7.4
H15.9.3",
北海道,"豊富町,",道路計画,"基準点,基準点","2級,,4級","18point,129point","稚内開発建設部稚内開発事務所
助言H15.7.4A0188","パブリックコンサルタント(株)
北海道道路エンジニアリング
(棟)","H15.7.4

H15.8.29",
北海道,"新得町,清水町,芽室町,帯広市,",河川計画,"空三,数値図化",",,2500","24M,53.3KM2","帯広開発建設部
助言H15.7.4A0189",国際航業(株),"H15.7.4
H15.11.19",
北海道,"幕別町,音更町,池田町,帯広市,中札内村,",河川計画,カラー撮影,12500,37.1KM2,"帯広開発建設部
助言H15.7.4A0190",国際航業(株),"H15.7.4
H15.12.5",
北海道,"江差町,",河川計画,"座標変換,基準点","2級,,2級","1point,1point","北海道函館土木現業所
助言H15.7.3A0191",(株)ノース技研,"H15.8.22
H15.12.15",
北海道,"弟子屈町,",道路計画,"基準点,白地図等","3級,,1000","3point,1.1km","釧路開発建設部
助言H15.7.3A0192",スミセキ･ジオテクノ(株),"H15.7.1
H15.7.30",
北海道,"標茶町,",道路台帳,基準点,3級,10point,"釧路開発建設部
助言H15.7.3A0193",北海道測量事業協同組合,"H15.6.13
H15.10.30",
北海道,"浦河町,",道路計画,座標変換,3級,12point,"北海道室蘭土木現業所
助言H15.7.3A0194",(株)大久保測量,"H15.7.3
H15.8.11",
北海道,"名寄市,下川町,",河川管理,"基準点,水準","2級,,2級","52point,41.4km","旭川開発建設部
助言H15.7.3A0195",(株)土木開発センター,"H15.6.5
H15.10.31",
北海道,"旭川市,愛別町,富良野市,南富良野町,",河川管理,"基準点,水準","2級,,2級","50point,38.8km","旭川開発建設部
助言37805A0196",(株)測新開発,"H15.6.12
H15.10.14",
北海道,"芽室町,",都市計画,座標変換,2級,4point,"芽室町東めむろ土地区画整理組合
助言H15.7.3A0197",(社)道農都市開発協会,"H15.5.27
H15.7.30",
北海道,"根室市,",都市計画,数値図修正,2500,47.6KM2,"根室市
助言H15.7.3A0198",(株)シン技術コンサル,"H15.7.1
H16.2.10",
北海道,"端野町,",土地改良,"座標変換,基準点,座標変換","3級,,4級,,2級","8point,30point,2point","北海道網走支庁
助言H15.7.4A0199",(有)網走測量設計社,"H15.7.2
H15.9.10",
