都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
北海道,"月形町,",土地改良,基準点,3級,9point,"北海道空知支庁
助言　　　H18.6.12 A 0105",(株)伊藤測量事務所,"H18.6.20
H19.2.28"
北海道,"小樽市,",海岸保全,基準点,2級,2point,"北海道後志支庁
助言　　　H18.6.12 A 0106",北海道調査測量(株),"H18.6.8
H18.8.30"
北海道,"遠別町,",道路計画,"基準点,基準点","1級,,3級","4point,9point","北海道留萌支庁
助言　　　H18.6.12 A 0107",ダイシン設計(株),"H18.6.12
H18.9.20"
北海道,"天塩町,",道路計画,基準点,3級,3point,"留萌開発建設部
助言　　　H18.6.12 A 0108","北海道測量事業協同組合
東光コンサルタント(株)","H18.6.3
H18.9.20"
北海道,"豊頃町,",河川管理,基準点,3級,18point,"帯広開発建設部
助言　　　H18.6.12 A 0109",(株)土木技術コンサルタント,"H18.6.7
H18.11.6"
北海道,"ニセコ町,",河川計画,基準点,3級,17point,"北海道後志支庁
助言　　　H18.6.13 A 0110",(株)開発調査研究所,"H18.6.6
H18.10.2"
北海道,"天塩町,",道路計画,基準点,3級,2point,"留萌開発建設部
助言　　　H18.6.13 A 0111","北海道測量事業協同組合
五大建設コンサルタント(株)","H18.5.17
H18.9.20"
北海道,"名寄市,",道路用地,"基準点,基準点","１級,,3級","11point,41point","旭川開発建設部
助言　　　H18.6.13 A 0112",北海道測量事業協同組合,"H18.6.21
H19.1.9"
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","5point,6point","北海道渡島支庁
助言　　　H18.6.13 A 0113",北海道キング設計(株),"H18.6.12
H18.12.20"
北海道,"富良野市,",河川計画,"基準点,基準点","2級,,3級","3point,7point","北海道上川支庁
助言　　　H18.6.14 A 0114",(株)サッポロ･エンジニヤーズ,"H18.6.20
H19.3.20"
北海道,"新十津川町,",土地改良,基準点,3級,20point,"北海道空知支庁
助言　　　H18.6.14 A 0115",拓新エンジニア(株),"H18.6.21
H19.2.28"
北海道,"岩見沢市,",土地改良,基準点,3級,62point,"北海道空知支庁
助言　　　H18.6.14 A 0116",(株)空知コンサルタント,"H18.6.16
H19.2.28"
北海道,"由仁町,",土地改良,基準点,3級,5point,"北海道空知支庁
助言　　　H18.6.14 A 0117",(株)ケント技研,"H18.6.16
H18.11.29"
北海道,"鶴居村,",道路計画,"基準点,座標変換","3級,,3級","6point,2point","北海道釧路支庁
助言　　　H18.6.14 A 0118",(株)アイネス,"H18.6.15
H18.9.20"
北海道,"恵庭市,",道路計画,"基準点,座標変換,座標変換","3級,,2級,,3級","7point,3point,2point","北海道札幌土木現業所
助言　　　H18.6.14 A 0119",(株)シー･イー･サービス,"H18.6.19
H18.8.25"
北海道,"留萌市,",雪崩対策,"基準点,基準点","3級,,4級","3point,10point","北海道留萌支庁
助言　　　H18.6.15 A 0120",小杉測量設計(株),"H18.6.8
H18.8.30"
北海道,"妹背牛町,",土地改良,基準点,3級,35point,"北海道空知支庁
助言　　　H18.6.15 A 0121",(株)田西設計コンサル,"H18.5.30
H19.3.20"
北海道,"妹背牛町,",土地改良,基準点,3級,33point,"北海道空知支庁
助言　　　H18.6.15 A 0122",(株)北海道農業建設コンサルタン,"H18.6.13
H18.11.15"
北海道,"訓子府町,",道路計画,"基準点,基準点,路線","1級,,3級,,","3point,3point,0.7km","北海道網走支庁
助言　　　H18.6.19 A 0123",(株)カワムラ,"H18.6.12
H18.9.30"
北海道,"北見市,訓子府町,",河川管理,基準点,１級,5point,"北海道網走支庁
助言　　　H18.6.19 A 0124",(株)カワムラ,"H18.6.12
H18.8.30"
北海道,"鹿追町,音更町,",ほ場整備,"数値図化,空三","5000,,5000","30.0KM2,10M","帯広開発建設部
助言　　　H18.6.19 A 0125",北海航測(株),"H18.6.15
H18.6.15"
