都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
宮崎県,"小林市,高原町,野尻町,",地すべり対策,"航空レーザ,航空レーザ,航空レーザ,水準","レーザ計測,,グラウンドデータ作成,,グリッドデータ（1m、5m）作成,,４級","416.4KM2,265.6KM2,265.6KM2,0.4km","助言H21.9.14I0194九州地方整備局　宮崎河川国
道事務所",(株)パスコ,"H21.3.5
H21.10.30",
宮崎県,"えびの市,小林市,高原町,",地すべり対策,"航空レーザ,航空レーザ,航空レーザ","レーザ計測,,グラウンドデータ作成,,グリッドデータ作成（1m　5m）","170.9KM2,105KM2,105KM2","助言H21.9.14I0195九州地方整備局　宮崎河川国
道事務所",(株)パスコ,"H21.8.1
H22.2.26",
宮崎県,"高千穂町,日之影町,",道路計画,"基準点,基準点,基準点","１級,,２級,,３級","6point,7point,13point","助言H21.9.18I0207九州地方整備局　延岡河川国
道事務所","株式会社　都城技建コンサ
ルタント","H21.9.24
H22.2.26",
宮崎県,"宮崎市,",道路計画,"基準点,基準点,基準点,水準","２級,,３級,,４級,,３級","3point,3point,0.1KM2,2km",助言H21.9.18I0208宮崎県　宮崎土木事務所,"株式会社　国土開発コンサ
ルタント","H21.9.18
H21.12.15",
宮崎県,"高鍋町,木城町,宮崎市,国富町,綾町,小林市,野尻町,高原町,都城市,三股町,",河川管理,"数値図化,数値図化","1000,,2500","136.8KM2,523KM2","助言H21.10.6I0220九州地方整備局　宮崎河川国
道事務所","アジア航測(株)
大成ジオテック(株)
(株)パスコ
写測エンジニアリング（株）
(株)新世コンソーシアム","H21.3.13
H22.2.10",
宮崎県,"西都市,",河川管理,"撮影,同時調整,数値図化","10000,,10000,,1000","19KM2,10point,4.2KM2",助言H21.11.2I0264宮崎県　西都土木事務所,国際航業(株),"H21.11.2
H22.2.3",
宮崎県,"都城市,",道路台帳,"数値図化,数値図化","1000,,2500","8.7KM2,2.2KM2",助言H21.11.5I0276宮崎県　　都城市,(株)パスコ,"H21.11.2
H22.9.30",
宮崎県,"宮崎市,",道路台帳,"基準点,基準点","２級,,３級","3point,8point","助言H21.11.11I0288九州地方整備局　宮崎河川国
道事務所宮崎維持出張所","(株)西田技術開発コンサル
タント","H21.11.12
H22.2.26",
宮崎県,"都城市,五ケ瀬町,椎葉村,西米良村,",砂防計画,"航空レーザ,航空レーザ,航空レーザ,カラー撮影,空三",",,グラウンドデータ作成,,グリッドデータ作成（1m　5m）,,20000,,","60.8KM2,158KM2,158KM2,979.5KM2,979.5KM2","助言H21.11.16I0295九州地方整備局　宮崎河川国
道事務所",中日本航空(株),"H21.8.1
H22.2.26",
宮崎県,"門川町,",道路台帳,"基準点,基準点","２級,,３級","10point,14point","助言H21.11.16I0296九州地方整備局　延岡河川国
道事務所","正栄技術コンサルタント株
式会社","H21.11.19
H22.3.12",
