都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
愛知県,"豊田市,",河川管理,基準点測量,３級,3point,"中部地方整備局豊橋河川事務
所 ",中部復建株式会社,"H27.11.24 
H27.12.28"
愛知県,"西尾市,",道路管理,"修正測量,数値図化","1000,,1000","1.15KM2,28.8km","愛知県西尾市 
助言　　　H27.11.13  E0215","中日本航空測量株式会
社","H27.11.25 
H28.3.14"
愛知県,"名古屋市,",道路計画,基準点測量,２級,1point,"愛知県名古屋市 
助言　　　H27.11.13  E0216",株式会社福和測量設計,"H27.11.24 
H28.2.29"
愛知県,"豊川市,",道路管理,修正測量,1000,27.02km,"愛知県豊川市 
助言　　　H27.11.20  E0217",アジア航測株式会社,"H27.10.29 
H28.3.23"
愛知県,"みよし市,",道路管理,修正測量,500,"0.48KM2,13.75km","愛知県みよし市 
助言　　　H27.11.20  E0218",アジア航測株式会社,"H27.10.26 
H28.3.18"
愛知県,"安城市,",道路管理,修正測量,1000,0.46KM2,"愛知県安城市 
助言　　　H27.11.20  E0219",アジア航測株式会社,"H27.10.10 
H28.3.25"
愛知県,"豊川市,",河川管理,"水準測量,水準測量","２級,,３級","8.2km,27.6km","中部地方整備局豊橋河川事務
所 
助言　　　H27.11.20  E0224","株式会社大増コンサルタ
ンツ","H27.11.30 
H28.2.29"
愛知県,"東海市,",土地区画整理,"基準点測量,水準測量","３級,,３級","2point,2point","東海富木島石根土地区画整理
準備組合 
助言　　　H27.11.20  E0225",株式会社つかもと,"H27.10.6 
H28.3.25"
愛知県,"西尾市,",土地区画整理,"基準点測量,水準測量","３級,,３級","2point,2.6km","愛知県西尾市 
助言　　　H27.11.20  E0226","愛知県経済農業協同組
合連合会","H27.11.18 
H28.3.16"
愛知県,"新城市,",道路計画,"基準点測量,基準点測量,基準点測量","２級,,３級,,４級","2point,2point,5point","愛知県新城市 
助言　　　H27.11.26  E0227","中央コンサルタンツ株式
会社","H27.10.24 
H28.3.22"
愛知県,"知多市,",その他,"基準点測量,基準点測量","３級,,４級","3point,290point","法務省名古屋法務局 
助言　　　H27.11.26  E0230",平川登記測量事務所,"H27.11.30 
H28.2.29"
愛知県,"春日井市,",土地区画整理,"基準点測量,水準測量","３級,,３級","2point,4.2km","春日井西部第一土地区画整理
組合 
助言　　　H27.11.26  E0232","玉野総合コンサルタント
株式会社","H27.11.27 
H28.3.31"
愛知県,"岡崎市,",その他,用地測量,,0.039KM2,"愛知県岡崎市 
助言　　　H27.12.1  E0236","葵コンサルタント株式会
社","H27.11.12 
H28.2.25"
愛知県,"清須市,春日井市,",道路計画,基準点測量,４級,118point,"中部地方整備局名古屋国道事
務所 
助言　　　H27.12.1  E0238","新晃コンサルタント株式
会社","H27.11.25 
H28.3.30"
愛知県,"岡崎市,",固定資産,"数値撮影(デジタル),同時調整","16,,1000","387.2KM2,387.2KM2","愛知県岡崎市 
助言　　　H27.12.2  E0240",株式会社パスコ,"H27.11.24 
H28.3.25"
愛知県,"碧南市,",固定資産,"数値撮影(デジタル),同時調整","16,,1000","35.86KM2,35.86KM2","愛知県碧南市 
助言　　　H27.12.2  E0244",株式会社パスコ,"H27.12.1 
H28.3.18"
愛知県,"豊橋市,",基準点管理,基準点測量,３級,1point,"中部地方整備局名古屋国道事
務所 
助言　　　H27.12.3  E0247","株式会社大地コンサルタ
ント","H26.12.1 
H28.2.29"
愛知県,"蟹江町,",道路計画,基準点測量,３級,2point,"愛知県海部建設事務所 
助言　　　H27.12.3  E0248","玉野総合コンサルタント
株式会社","H27.10.30 
H28.3.18"
愛知県,"名古屋市,",道路計画,基準点測量,４級,22point,"中部地方整備局名古屋国道事
務所 
助言　　　H27.12.4  E0251","柴山コンサルタント株式
会社","H27.12.11 
H28.2.29"
愛知県,"西尾市,",固定資産,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","9.6,,1000","160.34KM2,160.34KM2","愛知県西尾市 
助言　　　H27.12.4  E0252",国際航業株式会社,"H27.9.30 
H28.3.23"
愛知県,"豊橋市,",都市計画,"基準点測量,基準点測量","２級,,３級","1point,5point","愛知県豊橋市 
助言　　　H27.12.8  E0253","栄土地測量設計株式会
社","H27.11.16 
H28.3.11"
愛知県,"刈谷市,",道路管理,修正測量,500,"0.092KM2,9.21km","愛知県刈谷市 
助言　　　H27.12.17  E0256",アジア航測株式会社,"H27.11.24 
H28.3.31"
