都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期
北海道,"旭川市,美瑛町,比布町,当麻町,愛別町,",道路計画,"空三,空三,数値図化,数値図化","1000,,2500,,1000,,2500","49M,30M,3.2KM2,4.1KM2",助言H21.2.18A0691旭川開発建設部旭川道路事務所,北海航測(株),"H20.12.26
H21.2.27"
北海道,"浜中町,",土地改良,基準点,３級,9point,助言H21.2.18A0692釧路開発建設部,北王コンサルタント(株),"H21.2.11
H21.3.12"
北海道,"稚内市,",道路管理,基準点,１級,2point,助言H21.2.18A0693稚内開発建設部稚内開発事務所,(株)構研エンジニアリング,"H21.2.16
H21.3.27"
北海道,"八雲町,",道路計画,"基準点,基準点,路線","１級,,３級,,","2point,2point,0.8km",助言H21.2.24A0694函館開発建設部八雲道路事務所,大西測量設計(株),"H20.11.13
H21.3.12"
北海道,"名寄市,",下水道計画,"基準点,基準点","街区三角点,,街区多角点","1point,2point",助言H21.2.27A0695名寄市,三共測量コンサルタント(株),"H21.2.23
H21.3.17"
北海道,"浜中町,",土地改良,基準点,３級,6point,助言H21.2.24A0696釧路開発建設部,(株)三幸測量設計社,"H21.2.18
H21.3.10"
北海道,"別海町,",土地改良,基準点,２級,7point,助言H21.2.24A0697釧路開発建設部,(株)ジルコ,"H21.2.14
H21.3.23"
北海道,"別海町,",土地改良,基準点,２級,8point,助言H21.2.24A0698釧路開発建設部,(株)イーエス総合研究所,"H21.2.14
H21.3.18"
北海道,"別海町,",土地改良,基準点,２級,8point,助言H21.2.24A0699釧路開発建設部,(株)三祐コンサルタンツ,"H21.2.20
H21.3.23"
北海道,"新ひだか町,",土地改良,基準点,１級,1point,"助言H21.2.24A0700(独)森林総合研究所森林農地整備
センター",(株)エーティック,"H21.2.20
H21.3.25"
北海道,"函館市,",土地改良,"基準点,水準","３級,,３級","4point,3km","助言H21.2.24A0701函館市石川稜北土地区画整理組
合設立準備委員会",道農都市開発(株),"H21.2.9
H22.3.31"
北海道,"雨竜町,",土地改良,"カラー撮影,数値図化","10000,,1000","63KM2,14KM2",助言H21.2.25A0702札幌開発建設部,(株)八州,"H20.9.5
H21.3.16"
北海道,"士別市,名寄市,",道路管理,基準点,３級,9point,助言H21.3.2A0703旭川開発建設部士別道路事務所,(株)日興ジオテック,"H21.2.11
H21.3.25"
北海道,"帯広市,",道路台帳,既成図数値化,500,5.7KM2,助言H21.3.9A0704帯広開発建設部,(株)パスコ,"H20.12.17
H21.3.18"
北海道,"比布町,愛別町,当麻町,上川町,白滝村,名寄市,旭川市,和寒町,剣淵町,士別市,",道路台帳,既成図数値化,500,12.8KM2,助言H21.3.9A0705旭川開発建設部,(株)ティーネットジャパン,"H21.3.5
H21.3.25"
北海道,"江別市,岩見沢市,恵庭市,千歳市,",道路台帳,既成図数値化,500,4.8KM2,助言H21.3.11A0706札幌開発建設部,(株)アラソフトウェア,"H21.3.10
H21.3.27"
北海道,"上士幌町,",道路計画,"基準点,基準点","２級,,３級","1point,1point",助言H21.3.11A0707北海道十勝支庁,(株)開発調査研究所,"H21.3.7
H21.3.27"
北海道,"伊達市,",道路計画,基準点,３級,2point,助言H21.3.11A0708北海道胆振支庁,(株)アルファ水工コンサルタンツ,"H21.3.6
H21.3.19"
北海道,"苫小牧市,",道路管理,基準点,２級,5point,"助言H21.3.11A0709室蘭開発建設部苫小牧道路事務
所",(株)メイセイ・エンジニアリング,"H21.3.9
H21.3.25"
北海道,"斜里町,",道路防災,"基準点,基準点","１級,,３級","1point,5point",助言H21.3.11A0710網走開発建設部網走道路事務所,日本工営(株),"H21.3.6
H21.3.26"
北海道,"浜中町,",道路管理,基準点,３級,1point,助言H21.3.19A0711釧路開発建設部,(株)小出コンサルタント,"H21.3.14
H21.4.30"
北海道,"今金町,せたな町,",河川管理,基準点,３級,13point,助言H21.3.30A0712函館開発建設部,北海道測量事業協同組合,"H21.3.24
H21.9.18"
北海道,"鹿追町,",土地改良,基準点,３級,9point,助言H21.3.31A0713帯広開発建設部,北王コンサルタント(株),"H21.3.20
H21.4.27"
青森県県境宮城県,"六ケ所村,県境東松島市,",用地測量,"基準点,基準点,地上数値法,地上数値法","４級,,４級,,500,,500","17point,49point,0.1KM2,0.1KM2",助言H20.5.13B0011防衛省東北防衛局,"(株)コサカ技研
(株)秋元技術コンサルタンツ","H20.5.8
H20.7.31"
青森県,"つがる市,",総合計画,"基準点,地上数値法","３級,,500","7point,0.1KM2",助言H20.5.13B0013防衛省東北防衛局,(株)コサカ技研,"H20.6.3
H20.8.18"
青森県,"黒石市,",土地区画整理,"基準点,基準点,座標変換","３級,,４級,,３級","3point,36point,4point",助言H20.5.22B0016黒石市,佐藤技術(株),"H20.5.26
H21.3.25"
青森県県境岩手県,"八戸市,十和田市,三戸町,五戸町,田子町,南部町,階上町,新郷村,県境二戸市,軽米町,洋野町,",森林計画,カラー撮影,20000,1136KM2,助言H20.5.26B0018青森県,東北測量(株),"H20.6.9
H20.10.31"
青森県,"三沢市,",用地測量,"基準点,基準点,座標変換","２級,,３級,,３級","5point,8point,7point",助言H20.6.10B0023防衛省東北防衛局,"(株)岩沢測量コンサル
(株)桑折コンサルタント
佐藤技術(株)
(株)一測設計","H20.6.17
H20.9.18"
青森県,"青森市,",土地区画整理,"基準点,基準点,基準点,地上数値法","２級,,３級,,４級,,500","1point,12point,213point,0.5KM2",助言H20.6.23B0030青森市大野土地区画整理組合,(株)みちのく計画,"H20.7.10
H22.3.20"
青森県,"西目屋村,",ダム計画,"基準点,基準点,水準","１級,,４級,,３級","5point,95point,4.6km","助言H20.7.2B0040東北地方整備局 津軽ダム工事
事務所",東信技術(株),"H20.5.1
H20.10.15"
青森県,"十和田市,七戸町,横浜町,六ケ所村,五戸町,",森林計画,ディジタルオルソ,5000,176.6KM2,助言H20.7.11B0044青森県,東北測量(株),"H20.7.22
H21.1.30"
青森県,"五戸町,",都市計画図作成,"数値撮影,撮影,数値図化,数値図修正,数値図化,数値図修正","10000,,30000,,2500,,2500,,10000,,10000","101.3KM2,344.7KM2,2.5KM2,28.7KM2,46.6KM2,85.7KM2",助言H20.7.31B0064五戸町,(株)パスコ,"H20.8.1
H21.3.20"
青森県,"深浦町,",森林調査,"カラー撮影,ディジタルオルソ","8000,,1000","44KM2,28KM2",助言H20.9.12B0070青森県,東北測量(株),"H20.7.23
H20.11.14"
青森県,"青森市,",道路台帳,"基準点,基準点,地上数値法,地上数値法","３級,,４級,,500,,1000","4point,355point,0.7KM2,0.2KM2",助言H20.8.22B0077青森市,(株)しんとう計測,"H20.8.4
H21.3.19"
青森県,"八戸市,",地盤変動調査,水準,１級,48.4km,助言H20.9.9B0097八戸市,(株)興和,"H20.9.3
H20.12.31"
青森県,"五所川原市,十和田市,三沢市,むつ市,つがる市,平川市,平内町,今別町,蓬田村,外ヶ浜町,鰺ヶ沢町,深浦町,西目屋村,大鰐町,板柳町,鶴田町,中泊町,野辺地町,七戸町,六戸町,",水土里情報利活用促進事業,"カラー撮影,ディジタルオルソ","12500,,2500","4545KM2,4545KM2",助言H20.9.30B0117青森県土地改良事業団体連合会,"国際航業(株)
朝日航洋(株)
アジア航測(株)
（株）エヌ・ティ・ティ　エムイー
(株)パスコ","H20.9.24
H21.7.31"
